Key,ShortKey,Source,Row,Module,Field,Role,CN,ES
FeatureUnlock_21452_FeatureName,aCtC,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,FeatureName,,超验存在,Existencia Transcendental
FeatureUnlock_21452_UnlockDesc,aCtE,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:超验存在已开启>\n\n<FeatureUnlockDesc:祂们是无视一切规则与因果的禁忌存在。\n消耗灵啡肽进行挑战，可以获得更珍稀的唤醒体技能升级材料。>,<FeatureUnlockTitle: Existencia Transcendental ya está abierta>\n\n<FeatureUnlockDesc: Entidades tabú que ignoran la causalidad.\nConsumir morfina para participar en desafíos puede otorgar materiales más raros para mejorar las habilidades del despertador.>
FeatureUnlock_21452_LockTip,aCtD,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,Se desbloquea tras completar la Historia Principal 3-10: Normal
FeatureUnlock_17072_FeatureName,aCsu,g功能解锁_FeatureUnlock_A.csv,97,FeatureUnlock,FeatureName,,玩偶之泪,Lágrimas de la Muñeca
FeatureUnlock_16982_FeatureName,aCnk,g功能解锁_FeatureUnlock_A.csv,98,FeatureUnlock,FeatureName,,蜡像之秘,Secretos Esculpidos
FeatureUnlock_16982_LockTip,aCnl,g功能解锁_FeatureUnlock_A.csv,98,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,Se desbloquea tras completar la Historia Principal 3-10: Normal
FeatureUnlock_16964_FeatureName,aCmi,g功能解锁_FeatureUnlock_A.csv,99,FeatureUnlock,FeatureName,,漆黑之链,Cadena de Oscuridad
FeatureUnlock_16964_LockTip,aCmj,g功能解锁_FeatureUnlock_A.csv,99,FeatureUnlock,LockTip,,完成 「调查行动」第3章·普通 后解锁,Se desbloquea tras completar el Capítulo 3 de la Historia Principal: Normal
FeatureUnlock_17011_FeatureName,aCoT,g功能解锁_FeatureUnlock_A.csv,100,FeatureUnlock,FeatureName,,界外之影,Sombra del Más Allá
FeatureUnlock_17011_LockTip,aCoU,g功能解锁_FeatureUnlock_A.csv,100,FeatureUnlock,LockTip,,完成 「调查行动」第4章·普通 后解锁,Se desbloquea tras completar el Capítulo 4 de la Historia Principal: Normal
FeatureUnlock_16996_FeatureName,aCoa,g功能解锁_FeatureUnlock_A.csv,101,FeatureUnlock,FeatureName,,虔诚之握,Garra Piadosa
FeatureUnlock_16996_LockTip,aCob,g功能解锁_FeatureUnlock_A.csv,101,FeatureUnlock,LockTip,,完成 「调查行动」第5章·普通 后解锁,Se desbloquea tras completar el Capítulo 5 de la Historia Principal: Normal
FeatureUnlock_17039_FeatureName,aCqz,g功能解锁_FeatureUnlock_A.csv,102,FeatureUnlock,FeatureName,,圣胎之咏,Himno del Feto Sagrado
FeatureUnlock_17039_LockTip,aCqA,g功能解锁_FeatureUnlock_A.csv,102,FeatureUnlock,LockTip,,完成 「调查行动」第6章·普通 后解锁,Se desbloquea tras completar el Capítulo 6 de la Historia Principal: Normal
FeatureUnlock_49170_FeatureName,aCwq,g功能解锁_FeatureUnlock_A.csv,103,FeatureUnlock,FeatureName,,沙海遗存,Reliquias de la Arena
FeatureUnlock_49170_LockTip,aCwr,g功能解锁_FeatureUnlock_A.csv,103,FeatureUnlock,LockTip,,完成 「调查行动」第7章·普通 后解锁,Se desbloquea tras completar el Capítulo 7 de la Historia Principal: Normal
FeatureUnlock_58914_LockTip,aCzP,g功能解锁_FeatureUnlock_A.csv,104,FeatureUnlock,LockTip,,完成 「调查行动」第8章·普通 后解锁,Se desbloquea tras completar el Capítulo 7 de la Historia Principal: Normal
LanguageConfig_MainInterface_Btn_BOSS_CN,aGPZ,d多语言_LanguageConfig_C.csv,322,LanguageConfig,CN,,超验存在,Dominio Arcano
LanguageConfig_WeeklyBossInstructions_CN,aHpd,d多语言_LanguageConfig_C.csv,1351,LanguageConfig,CN,,\n<Title:奖励次数>\n·每周一9点(GMT+8)奖励次数重置，通关任意「超验存在」的关卡后将消耗1次奖励次数获得任务报酬奖励。\n·未使用的奖励次数将不会继承到下一周。\n\n<Title:重现>\n·首次完成「超验存在」关卡挑战后将解锁重现，重现将消耗1次奖励次数并直接获得任务报酬奖励。\n·若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,"\n<Title:Intentos de Recompensa>\nLos intentos de recompensa se reinician todos los lunes a las 9:00 (GMT+8). Completar cualquier fase de «Dominio Arcano» consumirá 1 intento de recompensa para obtener la recompensa de la misión.\n\n<Title:Reescenificar>\nReescenificar se desbloqueará tras completar por primera vez el desafío de una fase de «Dominio Arcano». Reescenificar consumirá 1 intento de recompensa y otorgará directamente la recompensa de la misión.\nSi completas una fase de alta dificultad con tres estrellas, el progreso de las fases de dificultad inferior se marcará automáticamente como completado con tres estrellas.\n\nLos intentos de recompensa no utilizados no se transferirán a la semana siguiente."
LanguageConfig_WeeklyBoss_LvLimit_CN,aHpf,d多语言_LanguageConfig_C.csv,1353,LanguageConfig,CN,,调查等级达到{s1}解锁,Se desbloquea en el Nivel de Investigación {s1}
PanelText_UI_Research_Panel_Dispatch_Item_Text_C_Unclickable_Content,aIWx,j界面文字表_PanelText_C.csv,901,PanelText,Content,,未解锁,Bloqueado
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Special_Content,aIWu,j界面文字表_PanelText_C.csv,902,PanelText,Content,,达成条件,Condiciones
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Extra_Content,aIWr,j界面文字表_PanelText_C.csv,903,PanelText,Content,,【额外】,[EXTRA]
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_NoTask_Content,aIWs,j界面文字表_PanelText_C.csv,904,PanelText,Content,,暂时没有新的派遣任务,No hay nuevas misiones por ahora
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Special2_Content,aIWt,j界面文字表_PanelText_C.csv,905,PanelText,Content,,派遣总等级每超出20级，可获得1份额外奖励,"Cada 20 niveles sobrantes, +1 Recompensa"
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Award_Content,aIWp,j界面文字表_PanelText_C.csv,907,PanelText,Content,,任务报酬,Recompensas
PanelText_UI_Research_Popup_Recall_Text_C_Special2_Content,aIWM,j界面文字表_PanelText_C.csv,908,PanelText,Content,,派遣总等级每超出20级，可获得1份额外奖励,"Cada 20 niveles sobrantes, +1 Recompensa"
Stage_7727_Name,aUUg,g关卡_Stage_A.csv,547,Stage,Name,,玩偶之泪Ⅰ,Lágrimas de la Muñeca I
Stage_7727_Desc,aUUf,g关卡_Stage_A.csv,547,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
Stage_7949_Name,aViO,g关卡_Stage_A.csv,548,Stage,Name,,玩偶之泪Ⅱ,Lágrimas de la Muñeca II
