Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
FeatureUnlock_17041_LockTip,aCqG,g功能解锁_FeatureUnlock_A.csv,53,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
FeatureUnlock_17059_LockTip,aCrI,g功能解锁_FeatureUnlock_A.csv,54,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
FeatureUnlock_17057_LockTip,aCrC,g功能解锁_FeatureUnlock_A.csv,55,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
FeatureUnlock_17006_FeatureName,aCoE,g功能解锁_FeatureUnlock_A.csv,57,FeatureUnlock,FeatureName,,器质残像,เงาตกค้างแห่งกายา
FeatureUnlock_16985_FeatureName,aCnt,g功能解锁_FeatureUnlock_A.csv,64,FeatureUnlock,FeatureName,,禁忌纂录,ตำราต้องห้าม
FeatureUnlock_16985_UnlockDesc,aCnv,g功能解锁_FeatureUnlock_A.csv,64,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:禁忌纂录已开启>\n\n<FeatureUnlockDesc:在黑暗时代，这些符号被禁止抄写、转录。\n追溯禁忌的过往，获取更多密契套装。>,<FeatureUnlockTitle:ปลดล็อคตำราต้องห้ามแล้ว>\n\n<FeatureUnlockDesc:ในยุคมืด สัญญะเหล่านี้ถูกบัญญัติให้เป็นสิ่งต้องห้าม ทั้งห้ามคัดลอกและถอดความ\nย้อนรอยอดีตที่ถูกปกปิด เพื่อเข้าถึงเซ็ทพันธสัญญาเพิ่มมากขึ้น>
FeatureUnlock_16985_LockTip,aCnu,g功能解锁_FeatureUnlock_A.csv,64,FeatureUnlock,LockTip,,调查等级 25 级 解锁,ปลดล็อคเมื่อเลเวลการสืบสวนถึง 25
FeatureUnlock_16994_FeatureName,aCnU,g功能解锁_FeatureUnlock_A.csv,65,FeatureUnlock,FeatureName,,怪雾之都,นครหมอกลี้ลับ
FeatureUnlock_16994_LockTip,aCnV,g功能解锁_FeatureUnlock_A.csv,65,FeatureUnlock,LockTip,,完成 「调查行动」第1章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 1: ปกติ"
FeatureUnlock_16978_FeatureName,aCmY,g功能解锁_FeatureUnlock_A.csv,66,FeatureUnlock,FeatureName,,狂躁蜡馆,พิพิธภัณฑ์หุ่นขี้ผึ้งวิปลาส
