Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
LanguageConfig_MainInterface_Btn_Arena_CN,aGPY,d多语言_LanguageConfig_C.csv,316,LanguageConfig,CN,,幕间演习,Interlude,,,,,,Interludium,,,,
LanguageConfig_MainInterface_Btn_DailyCopy_CN,aGQb,d多语言_LanguageConfig_C.csv,312,LanguageConfig,CN,,融蚀之墟,Dissolution Ruins,,,,,,Auflösungsruinen,,,,
LanguageConfig_DailyCopy_Str_Title_CN,aGIM,d多语言_LanguageConfig_C.csv,319,LanguageConfig,CN,,融蚀之墟,Dissolution Ruins,,,,,,Auflösungsruinen,,,,
LanguageConfig_DailyCopyRules_CN,aGIE,d多语言_LanguageConfig_C.csv,2868,LanguageConfig,CN,,1、融蚀之墟内通关对应的关卡后来获得大量唤醒体升格素材、灵知制剂和蔷薇金券!\n2、完成关卡挑战后解锁重现，重现可以立即获得该关卡的任务报酬。每次重现需消耗等同于进行调查所需的灵啡肽。\n3、在调查等级达到 25 级后解锁技能素材关卡。,"1. Clear the corresponding levels within Dissolution Ruins to obtain a large amount of Awakener Edify Materials, Gnosis Elixir, and Rose Scrip!\n2. After completing a level challenge, unlock Reenact. Reenact allows you to immediately obtain the mission reward for that level. Each Reenact consumes an amount of Menophin equivalent to what is required for Investigation.\n3. Unlock Skill Material levels after reaching Investigation Level 25.",,,,,,"1. Schließe die entsprechenden Level in den Auflösungsruinen ab, um eine große Menge an Erwecker-Aufstiegsmaterialien, Gnosis-Elixieren und Rosenskript zu erhalten!\n2. Schalte nach Abschluss eines Levels „Wiederholen“ frei. Mit „Wiederholen“ kannst du sofort die Missionsbelohnung für dieses Level erhalten. Jedes „Wiederholen“ dieser Forschung verbraucht eine Menge an Menophin, die der für dieses Level erforderlichen Menge entspricht.\n3. Schalte Fähigkeitenmaterialien-Levels frei, nachdem du Forschungslevel 25 erreicht hast.",,,,
FeatureUnlock_17041_FeatureName,aCqF,g功能解锁_FeatureUnlock_A.csv,51,FeatureUnlock,FeatureName,,融蚀之墟,Dissolution Ruins,,,,,,Auflösungsruinen,,,,
FeatureUnlock_17041_LockTip,aCqG,g功能解锁_FeatureUnlock_A.csv,51,FeatureUnlock,LockTip,,完成 「调查行动」1-8·普通 后解锁,"Unlocks after completing ""Investigation"" 1-8: Normal",,,,,,"Wird nach Abschluss von ""Forschung"" 1-8: Normal freigeschaltet",,,,
,,,,,,,,,,,,,,,,,,
LanguageConfig_DailyCopy_Str_Money_Exp_CN,aGIJ,d多语言_LanguageConfig_C.csv,321,LanguageConfig,CN,,制剂淬炼,Potion Tempering,,,,,,Trankanrührung,,,,
StageGroup_15940_Name,aRda,g关卡组_StageGroup_A.csv,42,StageGroup,Name,,制剂淬炼,Potion Tempering,,,,,,Trankanrührung,,,,
FeatureUnlock_17059_LockTip,aCrI,g功能解锁_FeatureUnlock_A.csv,52,FeatureUnlock,LockTip,,完成 「调查行动」1-8·普通 后解锁,"Unlocks after completing ""Investigation"" 1-8: Normal",,,,,,"Wird nach Abschluss von ""Forschung"" 1-8: Normal freigeschaltet",,,,
StageGroup_15940_Desc,aRcZ,g关卡组_StageGroup_A.csv,42,StageGroup,Desc,,成为天才药理师的第一步。,The first step to becoming a genius pharmacologist.,,,,,,"Der erste Schritt, um ein genialer Pharmakologe zu werden.",,,,
StageGroup_15940_TypeText,aRdc,g关卡组_StageGroup_A.csv,42,StageGroup,TypeText,,制剂淬炼,Potion Tempering,,,,,,Trankanrührung,,,,
StageGroup_15940_StageGroupRewardDescription,aRdb,g关卡组_StageGroup_A.csv,42,StageGroup,StageGroupRewardDescription,,<Black:灵知制剂>,<Black:Gnosis Elixir>,,,,,,<Black:Gnosis-Elixier>,,,,
