Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
AvgCommunicate_57992_Content_1,abGc,avg通讯器聊天表_AvgCommunicate_A_M.csv,494,AvgCommunicate,Content,哈姆林,这里的音乐教室堪称简陋。,The music room here is quite rudimentary.,,,,,,Dieser Musikraum ist durchaus karg ausgestattet.,,,,
AvgCommunicate_57992_Content_2,abGf,avg通讯器聊天表_AvgCommunicate_A_M.csv,495,AvgCommunicate,Content,哈姆林,礼堂也实在是不堪入目。,The hall is truly unsightly.,,,,,,Der Saal ist absolut unansehnlich.,,,,
AvgCommunicate_57992_Content_3,abGg,avg通讯器聊天表_AvgCommunicate_A_M.csv,496,AvgCommunicate,Content,哈姆林,还有你们的那些乐器，负责维护的人是谁，难道不知道定期调音吗？,"And those instruments, who is responsible for maintaining them? Don't you know they require regular tuning?",,,,,,"Und wer ist für die Wartung dieser Instrumente verantwortlich? Wissen Sie nicht, dass sie regelmäßig gestimmt werden müssen?",,,,
AvgCommunicate_57992_Option_4,abGs,avg通讯器聊天表_AvgCommunicate_A_M.csv,497,AvgCommunicate,Option,玩家,哈姆林……,Hameln...,,,,,,Hameln...,,,,
AvgCommunicate_57992_Content_4,abGh,avg通讯器聊天表_AvgCommunicate_A_M.csv,497,AvgCommunicate,Content,玩家,哈姆林……,Hameln...,,,,,,Hameln...,,,,
AvgCommunicate_57992_Content_5,abGi,avg通讯器聊天表_AvgCommunicate_A_M.csv,498,AvgCommunicate,Content,哈姆林,难以置信，这就是高等学府的音乐素养吗？简直让人无法接受。,"Unbelievable, is this the musical literacy of a prestigious university? It's simply unacceptable.",,,,,,"Unglaublich, ist das das musikalische Niveau einer renommierten Universität? Das ist einfach inakzeptabel.",,,,
AvgCommunicate_57992_Content_6,abGj,avg通讯器聊天表_AvgCommunicate_A_M.csv,499,AvgCommunicate,Content,哈姆林,从今天开始，这些东西就由我全面接管了。,"From today onward, I will take full responsibility for all these matters.",,,,,,Ab heute werde ich die volle Verantwortung für all diese Angelegenheiten übernehmen.,,,,
AvgCommunicate_57992_Content_7,abGk,avg通讯器聊天表_AvgCommunicate_A_M.csv,500,AvgCommunicate,Content,哈姆林,在银霜节之前，我一定要训练出一个合格的乐团。,I must train a qualified orchestra before the Silversnow Festival.,,,,,,Ich muss vor dem Silberschnee-Festival ein kompetentes Orchester trainieren.,,,,
AvgCommunicate_57992_Option_8,abGw,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Option,玩家,幸好我不是乐团成员。,Glad I'm not a member of the orchestra.,,,,,,Zum Glück bin ich kein Mitglied des Orchesters.,,,,
AvgCommunicate_57992_Content_8,abGl,avg通讯器聊天表_AvgCommunicate_A_M.csv,501,AvgCommunicate,Content,玩家,幸好我不是乐团成员。,Glad I'm not a member of the orchestra.,,,,,,Zum Glück bin ich kein Mitglied des Orchesters.,,,,
