AwakerStory_60980_Title,atRc,h唤醒体故事_AwakerStory_A.csv,229,AwakerStory,Title,哈姆林,基础资料,Basic Information
AwakerStory_60980_Content,atRb,h唤醒体故事_AwakerStory_A.csv,229,AwakerStory,Content,哈姆林,初次见面时哈姆林总会让你想到某种来自东方的瓷器，洁白、华丽、优雅的弧线，有某种水波一样貌似温和的光泽，但又触之冰冷。\n在那副体面、精致、一丝不苟的外表下，是极致纯粹或者说极致空虚的灵魂。他的一生从头到尾只有一种念头，就像是只输入了一种指令的机器，丧失了其他所有的反应。\n一切对他来说，不过是如音符一样的排列组合。\n只有演奏、演奏、永不停歇地演奏。,"At first glance, Hameln always reminded you of a kind of Eastern porcelain—white, luxurious, with graceful curves and a wave-like gentle sheen, yet somewhat cold to the touch.\nBeneath that respectable, meticulous exterior lies a soul of extreme, empty purity. His entire life revolved around a single thought, like a machine programmed with one command, devoid of all other responses.\nTo him, everything was merely a sequence of musical notes.\nPlay, play, endlessly play."
AwakerStory_60980_UnlockDesc,atRd,h唤醒体故事_AwakerStory_A.csv,229,AwakerStory,UnlockDesc,哈姆林,唤醒体等级达到1级,Awakener has reached level 1
AwakerStory_60982_Title,atRk,h唤醒体故事_AwakerStory_A.csv,230,AwakerStory,Title,哈姆林,故事·一,Story: I
AwakerStory_60982_Content,atRj,h唤醒体故事_AwakerStory_A.csv,230,AwakerStory,Content,哈姆林,A.F. 31@1年@1月@2日，一位热爱音乐收藏的著名富豪被管家发现半夜暴毙于家中的书房，身上没有一丝伤口或中毒迹象，嘴角甚至还诡异地留有堪称满足的笑意。\n经警方勘察认定现场为密室条件，经历了无数刑侦高手和法医的检验，最终判定死者为意外猝死。\n然而这位正值壮年、身体康健甚至热爱马术运动的富豪为何在这样一个平平无奇的安静夜晚突然猝死，所有医生也给不出合理的理由。在其家属不满的威胁下，最终警方联系了审查会接管调查。\n原本只想息事宁人的审查会，竟然真的误打误撞从富豪书桌上散落的乐谱中检测出了灵知残留的痕迹。这份诡异的乐谱被送往弥萨格，据研究，这份残缺的乐谱来源自著名的《A小调安魂弥撒曲》遗失的后半篇章，然而乐谱的最后一页却依然并不完全，现场发现了许多笔迹狂乱的全新乐谱草稿，似乎是富豪在试图补全最后一页。\n在研究中发现，任何沉迷于乐谱的行为都会不同程度地导致癫狂，这份乐谱也很快被封存保管起来。经弥萨格学者推测，或许就是这项补全行为导致了富豪的疯狂与死亡，并以非常规的方式完成了唤醒仪式。\n之后很长一段时间校方都未搜索到任何这名未知唤醒体现身或伤人的线索，因而此事也逐渐被弥萨格的调查员们淡忘。\n只有音乐领域的学者们始终对那半份被封存的乐谱残篇念念不忘，一直期待着那传奇的安魂曲作者的出现。,"A.F. 31@1 Year @1 Month @2 Day, a famous tycoon who loved collecting music was found dead in his study by his butler late at night. There were no visible wounds or signs of poisoning on his body, and a strangely satisfied smile lingered on his lips.\nFollowing extensive examination by forensic experts, the death was ruled an accidental one, as the room was locked with no way to get inside.\nHowever, doctors could not provide a reasonable explanation for why this robust tycoon, who was in good health and even enjoyed horseback riding, suddenly died on such an ordinary and quiet night. Under pressure from his family, the police handed over the case to the Committee.\nInitially intending to quietly resolve the matter, the Committee unexpectedly detected traces of Gnosis on scattered sheet music found on the tycoon's desk. The eerie sheet music was sent to Mythag posthaste, where research identified it as fragments of the lost second half of the famous ""Requiem in A Minor."" The final page of the score remained incomplete, with numerous frantic drafts scattered around, seemingly attempts by the tycoon to complete it.\nScholars at Mythag speculated that this attempt to complete the score caused the tycoon's descent into madness and eventual death, completing the awakening ceremony in an unconventional manner and prompting its immediate sealing.\nFor a long time, Mythag found no evidence of this unknown Awakener appearing or causing harm, causing the case to gradually fade from investigators' minds and into obscurity.\nOnly scholars in the field of music continued to yearn for the sealed half-sheet, hoping for the legendary composer to emerge."
AwakerStory_60982_UnlockDesc,atRl,h唤醒体故事_AwakerStory_A.csv,230,AwakerStory,UnlockDesc,哈姆林,同调率等级达到3,Affinity Level 3
AwakerStory_60981_Title,atRg,h唤醒体故事_AwakerStory_A.csv,231,AwakerStory,Title,哈姆林,故事·二,Story: II
AwakerStory_60981_Content,atRf,h唤醒体故事_AwakerStory_A.csv,231,AwakerStory,Content,哈姆林,哈姆林并不总在学生们面前出现，即使他愿意出席弥萨格举办的音乐晚会，愿意指导水平堪忧的学生们的音乐课，但大多数时间，他都只是一个人在隔音的教室中、或是偏僻的树林里独自演奏，或者说练习。\n除开正式场合，他一直称呼他所有的演奏为练习，仿佛那些练习永无止境，完美的鸣奏永远不会出现。\n“真是一位永葆学徒之心般勤奋又谦虚的大师啊。”早已陶醉于那些音乐的人们这样夸赞。\n但，哈姆林从来不知谦虚为何物，他向来懒于琢磨那些应酬客套的说辞，不如说他的言辞总是过于直接，过于严苛。\n关于音乐他总是患有最严重的强迫症，以至于音乐课这种陶冶放松的课程已经在学生中登顶压力最大榜单，哈姆林本人也荣获魔鬼教师的“美名”。\n如果想要获得这位冷淡的音乐家的关注，只需要在演奏时弹错一个半音，那张脸立刻会皱起眉头转视而来。\n其实他对他“折磨”过的人没有任何意见，只不过是把那种堪称狂热的追求与标准强加在了他人身上，即便那已经比他对自己宽容太多。\n他就像是在头顶悬挂了胡萝卜的马驹一样，在头顶悬挂了永远无法抵达的准线。\n除开为那位优雅的舞者驻足过，他几乎不会主动与其他唤醒体交流，但面对他人的求助和搭讪，他却总是展示出出人意料的耐心。\n或许阻拦他的不是冷漠，而是过于单一的知识库吧。,"Hameln did not always appear before students. Even though he was willing to attend Mythag's musical events and guide the less adept students, most of the time, he played alone in a soundproof room or in secluded woods.\nExcept for official events, he called all of his playing simply ""practice,"" as if the practice was endless, and the perfect performance would never arrive.\n People praised his work, ""Such a diligent and humble master,"" they sung, intoxicated by its melody.\nYet, Hameln never knew humility; his words were always straightforward and overly harsh.\nSuch an obsessive pursuit of perfection in music made his classes a primary source of stress for students, earning him the title the ""devil's teacher.""\nIf, for some reason, you wished to get his attention, simply play the wrong note, and his frowning expression would be upon you almost immediately.\nHe bore no grudge against those he ""tormented,"" merely imposing his passionate, impossibly perfect standard upon them, even if it was much milder compared to what he demanded of himself.\nHe was like a horse with a carrot dangling overhead, forever striving for somethung unattainable.\nExcept for pausing for the elegant dancer, he rarely initiated contact with other Awakeners. However, he always displayed a surprising patience with requests and initiating conversation.\nPerhaps it wasn't indifference that hindered him, but too narrow a mind."
AwakerStory_60981_UnlockDesc,atRh,h唤醒体故事_AwakerStory_A.csv,231,AwakerStory,UnlockDesc,哈姆林,同调率等级达到5,Affinity Level 5
AwakerStory_60983_Title,atRo,h唤醒体故事_AwakerStory_A.csv,232,AwakerStory,Title,哈姆林,故事·三,Story: III
AwakerStory_60983_Content,atRn,h唤醒体故事_AwakerStory_A.csv,232,AwakerStory,Content,哈姆林,天赋这种东西似乎只是命运过于稀少的偏爱，以至于他在漫长的青春期中都不曾在周围的任何人身上得见，那已经成为了某种飘渺的意象，作为父亲鞭笞自己前进的符号。\n于是他坚信着只有始终坚持的勤奋才是通往完美的阶梯，一直到他站在世界舞台的顶峰，这对他依然是不变的真理。\n直到他遇到了忽然走上前并肩的那个人。\n那是多么耀眼的一位天才，原来那所谓天赋的礼物早已被一人独揽。\n从心底丛生的羡慕和一丝嫉妒中，他突然生出一股无言的迷茫和无助。\n那么我没有那样的东西，还能够到达完美的终点吗？\n走过的阶梯好像忽然化为飞灰，而头顶的大门依然那样遥远。\n他常常徘徊在簇拥这那个人的人群之外，仿佛故作清高地独处。\n但他每每注视着那个方向，心中总是不停排演开口的问好。\n那些平庸的蚊蝇始终围绕在那个人身边，散发恶意的低语。\n他实在是太笨拙的一个人，以至于长久缄默，无从辩解。\n那就用音乐吧，只有音乐是最完美的语言，而那个人一定会听懂。\n直到命运忽然连本带利收走了它所赠予的一切。\n天才早逝，庸人长命。\n从前那些人在背后的挑拨离间、蝇营狗苟他都未曾动摇分毫。\n此刻看着满桌未曾赠出的尚不满意的乐谱，却因痛恨自己而流下泪来。\n他忽然明白，在到达完美的天国前，必须用尽人间的手段。\n好在相比那些庸人，他已拥有足够的头脑。\n毕竟在他眼中，一切不过是如音符一般的排列计算。,"Talent seemed to be a rare favor of destiny. Hameln had never witnessed it in anyone around him during his long adolescence. It became a vague image—a symbol driving him forward under his father's whip.\nHe firmly believed that relentless diligence was the endless ladder to the perfection just out of reach. Even when he stood at the pinnacle of the world stage, it remained an unchanging truth.\nThis was until he met someone that could stand beside him.\n""What a dazzling genius!"" they cried: this gift of so-called talent was not within him, but another.\nFrom festering envy and jealousy, he suddenly felt an indescribable confusion and helplessness.\nWithout such talent, can I still reach the perfect end?\nThe rungs of the ladder of diligence had suddenly turned to ashes, while the door to perfection remained ever distant.\nHe often lingered outside the crowds that swarmed this genius, deliberately aloof.\nBut whenever he looked in that direction, he always silently rehearsed his greetings.\nThose mediocre insects always surrounded them, murmuring malicious whispers.\nHe was far too clumsy, silent for so long without being able to argue.\nWords meant little, he thought. Let music be his medium—for only music is the perfect language; surely they would understand.\nHowever, fate was a fickle beast, and would always come to reclaim the gifts it had so generously given.\nGeniuses die young, and yet the mediocre still stand.\nIn the past, provocations and scheming had never shaken him in the slightest.\nYet at this moment, looking at the stack of unsent, unsatisfactory music scores, he could only shed tears of anger.\nHameln suddenly understood: before reaching this perfect kingdom of heaven, he must use all means available in world below.\nFortunately, compared to those mediocre people, he already possessed the intellect to do it.\nAfter all, in his eyes, everything was nothing more than a calculation, like notes arranged on a score."
