Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
AvgDialog_22130_Content_2,aibw,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,故乡,Home
AvgDialog_22130_Content_3,aibH,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,玩家,好了，奥尔拉，旁边的旅客们都走了。,"Alright, Horla, the passengers next to us are gone."
AvgDialog_22130_Content_4,aibS,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,奥尔拉,真的？没有骗我？,Really? You're not deceiving me?
AvgDialog_22130_Content_5,aicd,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,玩家,……真的。,...Really.
AvgDialog_22130_Content_6,aico,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,13,AvgDialog,Content,,奥尔拉从那张硕大的羊皮纸下面探出头，小心翼翼地左右张望着。,"Horla peeked out from under the large parchment, cautiously looking around."
AvgDialog_22130_Content_7,aicz,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,14,AvgDialog,Content,,确认周围没有陌生人以后，她长舒一口气，从羊皮纸下钻了出来。,"After confirming there were no strangers around, she let out a long breath and crawled out from under the parchment."
AvgDialog_22130_Content_8,aicK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,15,AvgDialog,Content,玩家,你知道他们是看不见你的，对吧？,"You know they can't see you, right?"
AvgDialog_22130_Content_9,aicV,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,16,AvgDialog,Content,无纸奥尔拉,那可不一定。旅客里可能有唤醒体，戴着特殊设备的科研人员，天赋异禀的异能者……,"Not necessarily. Among the travelers could be Awakeners, researchers with special equipment, or gifted individuals..."
AvgDialog_22130_Content_10,aiaZ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,17,AvgDialog,Content,无纸奥尔拉,说不定，刚才那位抽烟的老先生，就是审查会的某个秘密成员。,Perhaps the old man who was smoking just now is a secret member of the Committee.
AvgDialog_22130_Content_11,aibk,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,无纸奥尔拉,我总觉得，他身上有一种非常神秘的气质……谁知道呢？,I always felt there was something very mysterious about him... Who knows?
AvgDialog_22130_Content_12,aibo,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,19,AvgDialog,Content,,阳光洒在甲板上。奥尔拉闭上眼，微微张开双臂。,"Sunlight bathed the deck. Horla closed her eyes, arms slightly open."
AvgDialog_22130_Content_13,aibp,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,20,AvgDialog,Content,,注意到你的目光以后，她有些不好意思地将双手缩了回去，背在身后。,"Noticing your gaze, she shyly pulled her hands back and hid them behind her back."
AvgDialog_22130_Content_14,aibq,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,21,AvgDialog,Content,玩家,不错，比我预想中已经好很多了。,"Not bad, much better than I expected."
AvgDialog_22130_Content_15,aibr,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,22,AvgDialog,Content,玩家,我还以为，你在看到游轮上有那么多的人以后，就会想打道回府。,I thought you'd want to turn back after seeing so many people on the cruise.
AvgDialog_22130_Content_16,aibs,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,23,AvgDialog,Content,无纸奥尔拉,当时有这么想，只是没有好意思跟您说……,"I thought about it at the time, but I didn't have the courage to tell you..."
AvgDialog_22130_Content_17,aibt,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,24,AvgDialog,Content,无纸奥尔拉,啊！守密人%sirormadam%，您看！是塞涅尔河！,"Ah! {Male=Sir,Female=Madam} Keeper, look! It's the Szenyér river!"
AvgDialog_22130_Content_18,aibu,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,25,AvgDialog,Content,,大海的漫无边际只维持了很短的时间。很快，一座灯塔从海平面下冉冉升起。,"The boundlessness of the sea only lasted a short while. Soon, a lighthouse rose slowly from beneath the horizon."
AvgDialog_22130_Content_19,aibv,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,26,AvgDialog,Content,,在它身后，一个宽广的入海口，和它两岸模糊的城市，一同映入你们的眼帘。,"Behind it, a wide estuary and the blurred cities on both banks came into view."
AvgDialog_22130_Content_20,aibx,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,27,AvgDialog,Content,汉娜,宁菲亚小姐宁菲亚小姐！,Miss Nymphaea! Miss Nymphaea!
AvgDialog_22130_Content_21,aiby,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,28,AvgDialog,Content,宁菲亚,你好，请问有什么事吗？,"Hello, may I ask what I can assist you with?"
AvgDialog_22130_Content_22,aibz,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,29,AvgDialog,Content,汉娜,你有看到奥尔拉吗？很急！,Have you seen Horla? It's urgent!
AvgDialog_22130_Content_23,aibA,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,30,AvgDialog,Content,汉娜,你不是有个什么读诗会嘛~据我的线人透露，奥尔拉好像经常出席你们的活动。,"Don't you have a poetry club or something? According to my informant, Horla seems to frequently attend your events."
AvgDialog_22130_Content_24,aibB,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,31,AvgDialog,Content,汉娜,你和她关系这么近，一定知道她在哪吧？！,"You're so close to her, you must know where she is, right?!"
AvgDialog_22130_Content_25,aibC,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,32,AvgDialog,Content,宁菲亚,抱歉，我上次见到奥尔拉，已经是两个月以前的事情了……她不喜欢人多的地方。,"Sorry, I last saw Horla two months ago... She dislikes crowded places."
AvgDialog_22130_Content_26,aibD,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,33,AvgDialog,Content,汉娜,那你有她的诗集吗？你们读诗会一定搜集了很多她的作品吧？！,"Do you have her poems? Your poetry club must have collected many of her works, right?!"
AvgDialog_22130_Content_27,aibE,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,34,AvgDialog,Content,汉娜,如果你那里有的话，我会很愿意花大价钱买下来的。,"If you have it, I'd be willing to pay a high price for it."
AvgDialog_22130_Content_28,aibF,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,35,AvgDialog,Content,宁菲亚,汉娜你找她，是有什么事吗？,"Hannah, do you have something to ask her about?"
AvgDialog_22130_Content_29,aibG,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,36,AvgDialog,Content,汉娜,最近的校报没有什么话题度，奥尔拉从来都不喜欢被采访，连自己的诗集也不愿意刊登。,"The school newspaper hasn't had much attention lately. Horla has never liked being interviewed, not even to publish her own poems."
AvgDialog_22130_Content_30,aibI,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,37,AvgDialog,Content,汉娜,要是能刊登她的诗集，甚至对她做一次专访，这个月的校刊销售量肯定会涨一倍的！,"If we can publish her poems or even conduct an exclusive interview with her, this month's school magazine sales will definitely double!"
AvgDialog_22130_Content_31,aibJ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,38,AvgDialog,Content,汉娜,标题我都想好了，就叫《花园与春天——少女诗人奥尔拉不为人知的往事》……,"I've already thought of the title: ""Garden and Spring—The Untold Stories of Young Poet Horla""..."
AvgDialog_22130_Content_32,aibK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,39,AvgDialog,Content,朵尔,……据统计，目前的目击案例已经达到两位数。,"...According to statistics, the current number of sightings has reached double digits."
AvgDialog_22130_Content_33,aibL,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,40,AvgDialog,Content,朵尔,根据目击证人描述，西岱的变化并不像是普通融蚀造成的。,"According to eyewitnesses, the changes in Cité don't seem to be caused by ordinary dissolution."
AvgDialog_22130_Content_34,aibM,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,41,AvgDialog,Content,朵尔,现在的西岱，很……,The current Cité is very...
AvgDialog_22130_Content_35,aibN,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,42,AvgDialog,Content,玩家,很……？,Very...?
AvgDialog_22130_Content_36,aibO,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,43,AvgDialog,Content,朵尔,用目击证人的话来说，“很美”。,"In the words of an eyewitness, ""It was beautiful."""
AvgDialog_22130_Content_37,aibP,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,44,AvgDialog,Content,玩家,融蚀……很美？,Dissolution... beautiful?
AvgDialog_22130_Content_38,aibQ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,45,AvgDialog,Content,朵尔,逻辑性缺乏是目击证词的普遍特征。,The lack of logic is a common characteristic of eyewitness testimony.
AvgDialog_22130_Content_39,aibR,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,46,AvgDialog,Content,朵尔,从他们凌乱的话里可以总结出的是，这次事件的独特性和影响范围非常罕见，但它表现出的危险性极低，这两者完全不成正比。,"From their chaotic words, it can be concluded that the uniqueness and impact of this event are extremely rare, yet the exhibited risk is minimal, creating a stark contrast."
