AvgDialog_4898_Content_7,amAi,avgV1.1莉莉大型支线_AvgDialog_C_M.csv,232,AvgDialog,Content,,这是…库姆和弗朗西斯？,Is this... Koum and Francis?
AvgDialog_4898_Content_16,amzL,avgV1.1莉莉大型支线_AvgDialog_C_M.csv,241,AvgDialog,Content,莉莉,有母亲、库姆，和莉莉的故事。,"The story of Mother, Koum, and Lily."
AvgDialog_19984_Content_3,ahDn,avg章3_AvgDialog_C_M.csv,434,AvgDialog,Content,？？？,<Italic:不要、不要，库姆，回来！>,"<Italic:No, no! Koum, come back!>"
AvgDialog_19984_Content_6,ahDU,avg章3_AvgDialog_C_M.csv,437,AvgDialog,Content,莉莉,库姆，不可以伤害大哥哥、大姐姐哦。,"Koum, don't hurt them, okay?"
AvgDialog_19984_Content_7,ahEf,avg章3_AvgDialog_C_M.csv,438,AvgDialog,Content,,被称作“库姆”的大型犬只坐在地上，乖巧地舔了舔爪子。,"The large dog ""Koum"" sits obediently licking paws."
AvgDialog_19984_Content_8,ahEo,avg章3_AvgDialog_C_M.csv,439,AvgDialog,Content,玩家,库姆……,Koum...
AvgDialog_19984_Content_19,ahDb,avg章3_AvgDialog_C_M.csv,450,AvgDialog,Content,,女孩像是没听见一般，凑在库姆的耳畔低语，晚间的微风将柔软的声音送入耳膜。,"She keeps whispering to Koum as if hearing nothing, her soft voice carried by evening breeze."
AvgDialog_19984_Content_20,ahDd,avg章3_AvgDialog_C_M.csv,451,AvgDialog,Content,莉莉,"库姆乖，要听主人的命令。
遵守命令的，才是好孩子。","Koum, be good and do as you're told.\nGood children follow orders."
AvgDialog_19984_Content_22,ahDf,avg章3_AvgDialog_C_M.csv,453,AvgDialog,Content,莉莉,达芙黛尔夫人说，如果库姆被人发现，莉莉就必须要回到<Blue:母亲>的身边。,"Lady Daffodil said that if Koum was discovered, Lily would have to return to <Blue:Mother>."
AvgDialog_19984_Content_29,ahDm,avg章3_AvgDialog_C_M.csv,460,AvgDialog,Content,达芙黛尔,还是说，你们想把库姆带回去交差，就此结案呢？,Or would you prefer to reclaim Koum and consider the matter closed?
AvgDialog_19984_Content_30,ahDo,avg章3_AvgDialog_C_M.csv,461,AvgDialog,Content,拉蒙娜,库姆不是真正的地狱犬。,Koum is not a true Hellhound.
AvgDialog_19984_Content_35,ahDt,avg章3_AvgDialog_C_M.csv,466,AvgDialog,Content,拉蒙娜,"现在，我们已经捕获了库姆，只要对比齿痕，相信很快就能得出结论——
<Yellow:它就是禽畜遇袭的犯人>。","Now, we have captured Koum. By comparing the bite marks, we should soon reach a conclusion—\n<Yellow:It is the culprit behind the livestock attacks>."
AvgDialog_19984_Content_36,ahDu,avg章3_AvgDialog_C_M.csv,467,AvgDialog,Content,拉蒙娜,"但<Yellow:地狱犬与它无关>。
库姆身上没有那种压迫感……那种跨越维度而来的恶意。",But <Yellow:The Hellhound has nothing to do with it>.\nKoum doesn't have that oppressive feeling... that malevolence from another dimension.
AvgDialog_19984_Content_40,ahDz,avg章3_AvgDialog_C_M.csv,471,AvgDialog,Content,拉蒙娜,禽类身上的人类齿痕，加上雕塑家协会在此地的活跃……我猜测，库姆是被雕塑家协会改造的产物。,"Human bite marks on birds, coupled with the activities of the Sculptors' Association here... I suspect that Koum is a product of their modifications."
AvgDialog_19984_Content_42,ahDB,avg章3_AvgDialog_C_M.csv,473,AvgDialog,Content,拉蒙娜,我们在追击库姆的过程中，发现它具有一定智能，且极为熟悉拉伊错综复杂的小道，说明它……还是人类时，可能在拉伊生活过较长时间。,"We discovered that while pursuing Koum, it displays intelligence and is extremely familiar with Rye's intricate paths. This suggests that it might have lived in Rye for a long time when it was still human."
AvgDialog_19984_Content_47,ahDG,avg章3_AvgDialog_C_M.csv,478,AvgDialog,Content,拉蒙娜,"将这一切都结合来看，眼前这个“地狱犬”的真身便呼之欲出了——
<Yellow:库姆，就是丽莎>。","Considering all of this, the true form of the ""Hellhound"" becomes apparent—\n<Yellow:Koum is actually... Lisa>."
AvgDialog_19984_Content_49,ahDI,avg章3_AvgDialog_C_M.csv,480,AvgDialog,Content,,"伏在一旁的库姆发出低沉的呜咽声。
莉莉摸了摸库姆的……丽莎的头，似乎是在安慰她。",Koum whimpers softly.\nLily pats Koum's... Lisa's head comfortingly.
