Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Skill_4129_Desc,aMrP,j技能表_Skill_A.csv,26,Skill,Desc,,弃掉所有手牌，抽取弃掉数量 +2 的牌。,"Discard your hand, then draw that many cards plus 2."
Skill_4043_Desc,aMgb,j技能表_Skill_A.csv,27,Skill,Desc,,对所有敌人造成 1 回合<WeaknessIconKeywords:虚弱>和<VulnerabilityIconKeywords:易伤>，<TouquKeywords:偷取>所有敌人 [Arg1] 点<PowerIconKeywords:力量>。,"Inflict 1 turn of <WeaknessIconKeywords:Weakness> and <VulnerabilityIconKeywords:Vulnerable> on each enemy, and <TouquKeywords:Steal> [Arg1] <PowerIconKeywords:STR> from them."
Skill_4771_Desc,aOAq,j技能表_Skill_A.csv,28,Skill,Desc,,获得 <Block:[Block:Arg1]> 点护盾，当前生命若低于 25%，回复 <Heal:[Heal:Arg2]> 点生命。,"Gain <Block:[Block:Arg1]> Shield. If current HP is below 25%, recover <Heal:[Heal:Arg2]> HP."
Skill_4771_BattleDesc,aOAp,j技能表_Skill_A.csv,28,Skill,BattleDesc,,获得 <Block:[Block:Arg1]> 点护盾，当前生命若低于 25%([Arg3])，回复 <Heal:[Heal:Arg2]> 点生命。,"Gain <Block:[Block:Arg1]> Shield. If current HP is below <Heal:[Arg3]> (25%), recover <Heal:[Heal:Arg2]> HP."
Skill_4292_Desc,aMOm,j技能表_Skill_A.csv,29,Skill,Desc,,获得 3 点算力。,Recover 3 Arithmetica.
Skill_4048_Desc,aMgK,j技能表_Skill_A.csv,30,Skill,Desc,,选择 1 名唤醒体使其获得 <Energy:[Arg1]> 点狂气。,Increase a chosen Awakener's Aliemus by <Energy:[Arg1]>.
Skill_4222_Desc,aMEV,j技能表_Skill_A.csv,31,Skill,Desc,,获得 [Arg1] 点<PowerIconKeywords:力量>，额外获得等同于永久力量 25%的临时<PowerIconKeywords:力量>。,"Gain [Arg1] <PowerIconKeywords:STR>, then gain Temporary <PowerIconKeywords:STR> equal to 25% of your permanent STR."
Skill_4222_BattleDesc,aMEU,j技能表_Skill_A.csv,31,Skill,BattleDesc,,获得 [Arg1] 点<PowerIconKeywords:力量>，额外获得等同于永久力量 25%([Arg3]) 的临时<PowerIconKeywords:力量>。,"Gain [Arg1] <PowerIconKeywords:STR>, then gain [Arg3] Temporary <PowerIconKeywords:STR> (25% of permanent STR)."
Skill_4582_Desc,aOaa,j技能表_Skill_A.csv,33,Skill,Desc,,所有唤醒体获得 <Energy:15> 点狂气，下回合开始时，获得 5% 最大生命 <SacrificeKeyWord:献祭>。,Increase all Awakeners' Aliemus by <Energy:15>. Suffer a Delayed <SacrificeKeyWord:Sacrifice> equal to 5% of your Max HP.
Skill_4582_BattleDesc,aNZZ,j技能表_Skill_A.csv,33,Skill,BattleDesc,,所有唤醒体获得 <Energy:15> 点狂气，下回合开始时，受到最大生命 5%([Arg3]) 的<SacrificeKeyWord:献祭>。,Increase all Awakeners' Aliemus by <Energy:15>. Suffer [Arg3] Delayed <SacrificeKeyWord:Sacrifice> (5% of Max HP).
Skill_36809_Desc,aLSq,j技能表_Skill_A.csv,34,Skill,Desc,,获得 [Arg1]% 临时暴击率和 [Arg2] 点临时<PowerIconKeywords:力量>。 若在首领战中且本回合尚未打出过任何牌，则尝试触发 [Arg3] 次死亡抵抗，若成功则获得 <Block:[Block:Arg4]> 点护盾，此效果只能触发 [Arg5] 次。,"Gain +[Arg1]% Temp. Crit. Rate and [Arg2] <PowerIconKeywords:STR>. If you're in a Final Battle and have played no cards this turn, attempt to trigger <DeathResistanceIconKeywords:Death Resistance> [Arg3] time(s). If successful, gain <Block:[Block:Arg4]> Shield. This effect can only trigger [Arg5] time(s) per battle."
Skill_36800_Desc,aLRV,j技能表_Skill_A.csv,35,Skill,Desc,,从抽牌堆中抽 [Arg1] 张算力消耗最低的卡牌。若当前界域为「深海」，则额外使<TentacleInjurieIconKeywords:触腕伤害>提高 [Arg2] 点。,"Draw [Arg1] cards with the lowest Arithmetica Cost from the Draw Pile. If the Realm includes Aequor, increase <TentacleInjurieIconKeywords:Tentacle DMG> by [Arg2]."
