Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
AwakerConfig_15595_Characteristic,asFb,h唤醒体_AwakerConfig_A.csv,8,AwakerConfig,Characteristic,,检索卡牌    多次伤害,Search for Cards    Multi-Hit Damage
AwakerConfig_15585_Characteristic,asCh,h唤醒体_AwakerConfig_A.csv,10,AwakerConfig,Characteristic,,驱散脆弱    临时力量,Cleanse Fragile    Temporary STR
AwakerConfig_15569_Characteristic,asxB,h唤醒体_AwakerConfig_A.csv,11,AwakerConfig,Characteristic,,高额群攻    伤害成长,AoE Damage    Multi-Hit Damage
AwakerConfig_15570_Characteristic,asxQ,h唤醒体_AwakerConfig_A.csv,12,AwakerConfig,Characteristic,,驱散虚弱    生命回复,Cleanse Vulnerable    HP Recovery
AwakerPotency_13276_PotencyDesc,asWs,h唤醒体启灵_AwakerPotency_A.csv,8,AwakerPotency,PotencyDesc,拉蒙娜,「女王之剑」伤害次数+1，每次造成伤害时，获得等同于攻击力 [Arg1]% 的临时力量。（效果随「女王之剑」的等级提升）「女王之剑」弃掉后，获得和打出相等的银钥能量。,"""Queen's Sword"" deals 1 extra hit of DMG, and will gain Temporary <PowerIconKeywords:STR> equal to [Arg1]% of ATK with each hit. (Percentage scales with ""Queen's Sword"" level.)\nWhen ""Queen's Sword"" is discarded, for each 1 Arithmetica it currently costs, gain Keyflare equal to Ramona's Keyflare Regen."
AwakerPotency_13233_PotencyDesc,asUK,h唤醒体启灵_AwakerPotency_A.csv,9,AwakerPotency,PotencyDesc,拉蒙娜,「攻势推演」所抽的牌每有 1 点算力消耗，额外获得 35 点银钥充能,"When you play ""Assault Thesis"", gain 35 Keyflare for each 1 Arithmetica Cost of the drawn card."
AwakerPotency_13334_PotencyDesc,asYE,h唤醒体启灵_AwakerPotency_A.csv,10,AwakerPotency,PotencyDesc,拉蒙娜,释放钥令后，拉蒙娜临时暴击率提高 50％。「世界演绎法」将 1 张「灵感」洗入抽牌堆。,"Whenever you unleash a Posse, Ramona gains +50% Temporary Crit. Rate.\nReleasing Ramona's Exalt ""Mundus Decree"" shuffles 1 <DerivativeCardKeywords_4:""Insight""> into the Draw Pile."
AwakerPotency_13489_PotencyDesc,ateA,h唤醒体启灵_AwakerPotency_A.csv,14,AwakerPotency,PotencyDesc,拉蒙娜,<OverLimitUtlSkillKeywords:超限爆发>：<WeaknessIconKeywords:虚弱>和<VulnerabilityIconKeywords:易伤>所有敌人 1 回合，下个释放的钥令生效 2 次。,<OverLimitUtlSkillKeywords:Over-Exaltation>: Inflict 1 turn of <WeaknessIconKeywords:Weakness> and <VulnerabilityIconKeywords:Vulnerable> on all enemies. The next Posse you unleash takes effect an additional time.
AwakerPotency_21728_PotencyDesc,atnO,h唤醒体启灵_AwakerPotency_A.csv,308,AwakerPotency,PotencyDesc,奥吉尔,「穿刺之枪」易伤回合数 +1，基础伤害 +100%，力量加成倍数提高 1。,"""Piercing Shot"" inflicts 1 more turn of <VulnerabilityIconKeywords:Vulnerable>, its Base DMG is doubled, and it benefits from 300% of <PowerIconKeywords:STR>."
AwakerPotency_21727_PotencyDesc,atnM,h唤醒体启灵_AwakerPotency_A.csv,309,AwakerPotency,PotencyDesc,奥吉尔,「七艺，传承美德」获得的护盾提高 20%， 若自身处于脆弱状态，「七艺，传承美德」额外获得 33% 的护盾。,"Shield gained from Ogier's Exalt ""Seven Arts and Virtues"" increases by 20%.\nIf releasing ""Seven Arts and Virtues"" cleanses <FragileIconKeywords:Fragile>, gain 33% more Shield."
AwakerPotency_21738_PotencyDesc,atnS,h唤醒体启灵_AwakerPotency_A.csv,310,AwakerPotency,PotencyDesc,奥吉尔,「不定壁垒」获得的护盾提高 28%，获得等同于攻击力 [Arg1]% 的力量（效果随「不定壁垒」的等级提高）。,"Shield gained from ""Unstable Barrier"" increases by 28%; when played, gain <PowerIconKeywords:STR> equal to [Arg1]% of Ogier's ATK. (Percentage scales with ""Unstable Barrier"" level.)"
AwakerPotency_13536_PotencyDesc,atgo,h唤醒体启灵_AwakerPotency_A.csv,314,AwakerPotency,PotencyDesc,奥吉尔,<OverLimitUtlSkillKeywords:超限爆发>：获得的护盾提高 200%，奥吉尔造成的伤害次数 +1，持续 3 回合。,"<OverLimitUtlSkillKeywords:Over-Exaltation>: Final Shield gained increases by 200%. For the next 3 turns, Ogier deals 1 extra hit whenever he deals DMG."
AwakerPotency_13244_PotencyDesc,asVg,h唤醒体启灵_AwakerPotency_A.csv,368,AwakerPotency,PotencyDesc,萝坦,「桀骜之刃」视为「打击」。萝坦的「打击」基础伤害提高 30%。,"""Blade of Defiance"" becomes a Strike Command. The Base DMG of Lotan's Strike Commands increase by 30%."
AwakerPotency_13185_PotencyDesc,asSS,h唤醒体启灵_AwakerPotency_A.csv,369,AwakerPotency,PotencyDesc,萝坦,「恣睢之浪」视为「打击」，获得的力量翻倍。,"""Tides of Hubris"" becomes a Strike Command, and the <PowerIconKeywords:STR> gained from it is doubled."
AwakerPotency_13728_PotencyDesc,atnE,h唤醒体启灵_AwakerPotency_A.csv,370,AwakerPotency,PotencyDesc,萝坦,「混沌之兽」造成的伤害次数+1 ，额外将 2 张附加消耗与虚无的「基础打击」置入手中。,"""Beast of Chaos"" deals 1 extra hit of DMG, and creates 2 copies of Lotan's ""Strike"" into your hand. The copies have <DepleteIconKeywords:Exhaust> and <NothingnessIconKeywords:Fleeting>."
AwakerPotency_13146_PotencyDesc,asRs,h唤醒体启灵_AwakerPotency_A.csv,374,AwakerPotency,PotencyDesc,萝坦,<OverLimitUtlSkillKeywords:超限爆发>：对所有敌人额外追加 1 次 15% 目标最大生命的固定伤害。本场战斗中「混沌之兽」的基础伤害提高 100%。,"<OverLimitUtlSkillKeywords:Over-Exaltation>: Deal <RealDamage:Fixed DMG> to each enemy equal to 15% of their Max HP; the Base DMG of ""Beast of Chaos"" increases by +100% until end of battle."
