Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
AvgCommunicate_57594_Content_1,abqG,avg通讯器聊天表_AvgCommunicate_A_M.csv,8,AvgCommunicate,Content,拉蒙娜,搭档，这是你上次出任务错过的课程笔记和作业。,"Partner, here are my notes and the homework you missed while you were away."
AvgCommunicate_57594_Content_2,abqN,avg通讯器聊天表_AvgCommunicate_A_M.csv,9,AvgCommunicate,Content,拉蒙娜,记得补交。,Don't forget to do your assignment.
AvgCommunicate_57594_Option_3,abrd,avg通讯器聊天表_AvgCommunicate_A_M.csv,10,AvgCommunicate,Option,玩家,有些事情过去了就让它过去吧……,Let's just forget about it...
AvgCommunicate_57594_Content_3,abqO,avg通讯器聊天表_AvgCommunicate_A_M.csv,10,AvgCommunicate,Content,玩家,有些事情过去了就让它过去吧……,Let's just forget about it...
AvgCommunicate_57594_Option_4,abre,avg通讯器聊天表_AvgCommunicate_A_M.csv,11,AvgCommunicate,Option,玩家,我这怎么突然信号不好了,"Sorry, my connection's not stable."
AvgCommunicate_57594_Content_4,abqP,avg通讯器聊天表_AvgCommunicate_A_M.csv,11,AvgCommunicate,Content,玩家,我这怎么突然信号不好了,"Sorry, my connection's not stable. Your last message didn't go through."
AvgCommunicate_57594_Content_6,abqR,avg通讯器聊天表_AvgCommunicate_A_M.csv,13,AvgCommunicate,Content,拉蒙娜,哦是吗？忘了告诉你，朵尔老师就在我旁边看着。,"Oh really? By the way, I forgot to tell you something. Teacher Doll is right beside me, watching."
AvgCommunicate_57594_Option_7,abrh,avg通讯器聊天表_AvgCommunicate_A_M.csv,14,AvgCommunicate,Option,玩家,突然涌出了一股熊熊燃烧的学习热情。,Uh... WOW! I suddenly feel REALLY EXCITED to learn today!
AvgCommunicate_57594_Content_7,abqS,avg通讯器聊天表_AvgCommunicate_A_M.csv,14,AvgCommunicate,Content,玩家,突然涌出了一股熊熊燃烧的学习热情。,Uh... WOW! I suddenly feel REALLY EXCITED to learn today!
AvgCommunicate_57594_Content_8,abqT,avg通讯器聊天表_AvgCommunicate_A_M.csv,15,AvgCommunicate,Content,玩家,居然有被我落下的作业，这怎么能坐视不管呢？,I can't believe I forgot about my homework! I better get to work and finish it all before I'm late!
AvgCommunicate_57594_Content_9,abqU,avg通讯器聊天表_AvgCommunicate_A_M.csv,16,AvgCommunicate,Content,玩家,既然如此，好搭档你一定会帮我补课的对吧？,"So, Partner! You'll help me catch up, right?!"
AvgCommunicate_57594_Content_10,abqH,avg通讯器聊天表_AvgCommunicate_A_M.csv,17,AvgCommunicate,Content,玩家,对吧？!,R-right?!
AvgCommunicate_57594_Content_12,abqJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,19,AvgCommunicate,Content,拉蒙娜,没问题，这是作为搭档应该做的。,Of course. That's what partners are supposed to do.
AvgCommunicate_57594_Content_13,abqK,avg通讯器聊天表_AvgCommunicate_A_M.csv,20,AvgCommunicate,Content,拉蒙娜,朵尔老师也很欣慰，决定给你设计一套独家附加题呢。,"Teacher Doll is also pleased, and told me to tell you that she'll be adding some additional bonus questions just for you."
AvgCommunicate_58020_Content_1,abJc,avg通讯器聊天表_AvgCommunicate_A_M.csv,23,AvgCommunicate,Content,本源拉蒙娜通讯器,居然有这样的机会时时与你联系。,I'm so glad we'll have more opportunities to work together in the future.
AvgCommunicate_58020_Content_2,abJf,avg通讯器聊天表_AvgCommunicate_A_M.csv,24,AvgCommunicate,Content,本源拉蒙娜通讯器,这实在是……,That's...
AvgCommunicate_58020_Content_3,abJg,avg通讯器聊天表_AvgCommunicate_A_M.csv,25,AvgCommunicate,Content,本源拉蒙娜通讯器,替我谢谢那个朵尔。,Tell Doll I said thanks...
AvgCommunicate_58020_Content_5,abJi,avg通讯器聊天表_AvgCommunicate_A_M.csv,27,AvgCommunicate,Content,本源拉蒙娜通讯器,虽然没有什么帮忙的需要。,Even if there aren't any pressing matters...
