Key,ShortKey,Source,Row,Module,Field,Role,CN,JP,,,,,,,,,,,,,,
Activity_56430_ActivityName,aaDI,h活动_Activity_A.csv,137,Activity,ActivityName,,无形交响,無形の交響曲,,,,,,,,,,,,,,
Activity_56430_ActivityPlot,aaDJ,h活动_Activity_A.csv,137,Activity,ActivityPlot,,交响是编织的艺术，不同器乐的轨迹交织成纵横的图谱。\n在他的织网中，每个音符都将各司其职。\n聆听吧，一支绝伦的交响即刻开演。,交響曲とは、織り成す芸術だ。異なる楽器の軌跡が交差し、縦横に広がる壮大な譜面を描く。\nその綾の中で、すべての音符がおのおのの役割を全うする。\n耳を傾けよ、比類なき交響曲が、今まさに幕を開ける。,,,,,,,,,,,,,,
Activity_67734_ActivityName,abaS,h活动_Activity_A.csv,173,Activity,ActivityName,,无形交响·复刻,無形の交響曲・復刻,,,,,,,,,,,,,,
Activity_67734_ActivityPlot,abaT,h活动_Activity_A.csv,173,Activity,ActivityPlot,,交响是编织的艺术，不同器乐的轨迹交织成纵横的图谱。\n在他的织网中，每个音符都将各司其职。\n聆听吧，一支绝伦的交响即刻开演。,交響曲とは、織り成す芸術だ。異なる楽器の軌跡が交差し、縦横に広がる壮大な譜面を描く。\nその綾の中で、すべての音符がおのおのの役割を全うする。\n耳を傾けよ、比類なき交響曲が、今まさに幕を開ける。,,,,,,,,,,,,,,
AvgDialog_60107_Content_2,anKQ,avg章8_AvgDialog_C_M.csv,9,AvgDialog,Content,,入场,入場,,,,,,,,,,,,,,
AvgDialog_60107_Content_3,anLb,avg章8_AvgDialog_C_M.csv,10,AvgDialog,Content,,叮——,リーン——,,,,,,,,,,,,,,
AvgDialog_60107_Content_4,anLm,avg章8_AvgDialog_C_M.csv,11,AvgDialog,Content,,清脆的铃声响起，伴着弥萨格学生的笑语远远传来，惊起停歇在屋顶的鸟群。,澄んだ鐘の音が、ミサゴ大学の学生たちの笑い声とともに、遠くから響いてきた。羽を休めていた鳥たちは、驚いて一斉に羽ばたく。,,,,,,,,,,,,,,
AvgDialog_60107_Content_5,anLx,avg章8_AvgDialog_C_M.csv,12,AvgDialog,Content,,日暮时分，氤氲的光线越过创立人的雕像，照在萝坦的脸上。,夕暮れ時の靄のように柔らかな光が、創立者の像を越えてロータンの顔を照らしていた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_6,anLI,avg章8_AvgDialog_C_M.csv,13,AvgDialog,Content,萝坦,难得的天气。奥吉尔，来陪我练练剑吧。,珍しく天気が良いな。\nよし、オジール。剣の稽古に付き合え。,,,,,,,,,,,,,,
AvgDialog_60107_Content_7,anLT,avg章8_AvgDialog_C_M.csv,14,AvgDialog,Content,奥吉尔,萝坦女士，我们的巡逻还没有结束呢。,ロータンさん、僕たちの巡回はまだ終わっていませんよ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_8,anMe,avg章8_AvgDialog_C_M.csv,15,AvgDialog,Content,萝坦,你这家伙什么都好，就是太认真了。,お前はよい奴だがな。いささか真面目すぎるぞ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_9,anMp,avg章8_AvgDialog_C_M.csv,16,AvgDialog,Content,萝坦,这么难得的闲暇时间，不找点娱乐活动，也太无趣了。,貴重な暇ではないか。\n何か楽しみでも見つけねば、つまらぬであろう？,,,,,,,,,,,,,,
AvgDialog_60107_Content_10,anKy,avg章8_AvgDialog_C_M.csv,17,AvgDialog,Content,,萝坦靠在长椅上，仰头活动着自己的关节。,ロータンはベンチにもたれ、天を仰いだ姿勢で関節をほぐす。,,,,,,,,,,,,,,
AvgDialog_60107_Content_11,anKH,avg章8_AvgDialog_C_M.csv,18,AvgDialog,Content,萝坦,自从钥冢仪式之后，弥萨格就接连遇到麻烦事。,鍵塚での儀式以来、ミサゴ大学には厄介ごとが続いておる。,,,,,,,,,,,,,,
AvgDialog_60107_Content_12,anKI,avg章8_AvgDialog_C_M.csv,19,AvgDialog,Content,萝坦,能遇见有趣的对手是件好事，不过，能有些休息的时间，倒也不赖。,面白き相手に巡り逢えるは、良きことよ。\nだが、こうして休めるときがあるのも、悪くはなかろう。,,,,,,,,,,,,,,
AvgDialog_60107_Content_13,anKJ,avg章8_AvgDialog_C_M.csv,20,AvgDialog,Content,,奥吉尔放下长枪，站在一旁，眉头微微皱了起来。,オジールは槍を下げて、脇に立ったまま、ほんの少し眉をひそめた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_14,anKK,avg章8_AvgDialog_C_M.csv,21,AvgDialog,Content,奥吉尔,说起这个……萝坦女士，您有没有觉得，最近我们遇到的事情太频繁了一点？,それにしても……ロータンさん、最近僕たち、いろんな事件に遭遇してますよね。少し数が多すぎると思いませんか？,,,,,,,,,,,,,,
AvgDialog_60107_Content_15,anKL,avg章8_AvgDialog_C_M.csv,22,AvgDialog,Content,奥吉尔,从济贫院、蜡像馆，到拉伊、索纳尼尔号，再到勒姆瓦希的圣河沙丘……,ワークハウス、蝋人形館、ライの町、ソナニール号、ヴォルムワヒの聖河と砂漠……,,,,,,,,,,,,,,
AvgDialog_60107_Content_16,anKM,avg章8_AvgDialog_C_M.csv,23,AvgDialog,Content,奥吉尔,自从主君继任守密人以后，这些事情就凑到了一块。这怎么看都不像是巧合。,主君が守秘者になってから、いろんなことが次々に起こっています。これはどう見ても、ただの偶然とは思えません。,,,,,,,,,,,,,,
AvgDialog_60107_Content_17,anKN,avg章8_AvgDialog_C_M.csv,24,AvgDialog,Content,萝坦,朵尔也和我聊起过这件事，不过，我不太感兴趣。,ドールも我にその話をしてきたが……あいにく、あまり興が乗らぬ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_18,anKO,avg章8_AvgDialog_C_M.csv,25,AvgDialog,Content,萝坦,动脑子的事情，就留给朵尔他们吧。我们的任务，不是这个。,頭を使うことは、ドールたちに任せておけばよいわ。\n我らの務めは、そちらではない。,,,,,,,,,,,,,,
AvgDialog_60107_Content_19,anKP,avg章8_AvgDialog_C_M.csv,26,AvgDialog,Content,,萝坦熟练地把手搭在矗立身旁的巨剑上。,ロータンは慣れた手つきで、傍らに突き立てられた剣に手を添えた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_20,anKR,avg章8_AvgDialog_C_M.csv,27,AvgDialog,Content,萝坦,守密人带着弥萨格走在正确的道路上，我要做的，只是在%heorshe%需要的时候，带着我的剑出现在%heorshe%面前。,守秘者がミサゴ大学を正しき道へ導いておるのなら、我の為すべきは、あやつが必要とするときに、我が剣を携えて参ずるのみよ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_21,anKS,avg章8_AvgDialog_C_M.csv,28,AvgDialog,Content,奥吉尔,说的没错，萝坦女士！我相信，主君一定会带着我们找到战胜融蚀的办法的，弥萨格的平静，就是最好的证明！,そのとおりです、ロータンさん！主君はきっと融蝕に打ち勝てるように導いてくださいます。ミサゴ大学の平穏が、なによりの証拠です！,,,,,,,,,,,,,,
AvgDialog_60107_Content_22,anKT,avg章8_AvgDialog_C_M.csv,29,AvgDialog,Content,,奥吉尔望了望身后悠然的校园，满怀期待地重新提起长枪。,オジールは背後に広がる穏やかなキャンパスを一瞥すると、期待に胸を膨らませて、再び槍を握り直した。,,,,,,,,,,,,,,
AvgDialog_60107_Content_23,anKU,avg章8_AvgDialog_C_M.csv,30,AvgDialog,Content,奥吉尔,走吧，萝坦女士。我知道很多有趣的骑士竞技活动，等今天的巡逻任务完成，我们邀请主君一起……,ロータンさん。僕、騎士がやる面白い競技を知ってるんです。\n今日の巡回が終わったら、主君もお誘いして一緒に……,,,,,,,,,,,,,,
