Key,ShortKey,Source,Row,Module,Field,Role,CN,JP_Manual,JP_AI,Status
Skill_126484_Desc_0,bNAw,j技能表_Skill_A.csv,1592,Skill,Desc,阿拉克涅,造成 <Damage:[Damage:Arg1]> 点伤害。阿拉克涅获得 <Energy:[Energy:Arg2]> 点狂气。,<Damage:[Damage:Arg1]>ダメージを与える。アラクネは <Energy:[Energy:Arg2]>狂気を獲得。,<Damage:[Damage:Arg1]> ポイントのダメージを与えます。アラクネは <Energy:[Energy:Arg2]> ポイントの狂気を得ます。,
Skill_126484_BattleDesc_0,bNAv,j技能表_Skill_A.csv,1592,Skill,BattleDesc,阿拉克涅,造成 <Damage:[Damage:Arg1]> 点伤害。获得 <Energy:[Energy:Arg2]> 点狂气。,<Damage:[Damage:Arg1]>ダメージを与える。<Energy:[Energy:Arg2]>狂気を獲得。,<Damage:[Damage:Arg1]>のダメージを与える。<Energy:[Energy:Arg2]>狂気を獲得。,
Skill_126484_Name,bNAy,j技能表_Skill_A.csv,1592,Skill,Name,阿拉克涅,打击,攻撃,打撃,
Skill_126485_Desc_0,bNAC,j技能表_Skill_A.csv,1593,Skill,Desc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾。阿拉克涅获得 <Energy:[Energy:Arg2]> 点狂气。,<Block:[Block:Arg1]>点のシールドを獲得。アラクネは<Energy:[Energy:Arg2]>狂気を獲得。,<Block:[Block:Arg1]> シールドを獲得しました。アラクネは <Energy:[Energy:Arg2]> ポイントの狂気を獲得しました。,
Skill_126485_BattleDesc_0,bNAB,j技能表_Skill_A.csv,1593,Skill,BattleDesc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾。获得 <Energy:[Energy:Arg2]> 点狂气。,<Block:[Block:Arg1]>点のシールドを獲得。 <Energy:[Energy:Arg2]>狂気を獲得。,<Block:[Block:Arg1]> のシールドを獲得。 <Energy:[Energy:Arg2]> の狂気を獲得。,
Skill_126486_Desc_0,bNAH,j技能表_Skill_A.csv,1594,Skill,Desc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾，临时伤害强效 +[Arg2]％，移除所有手牌的<SlowIconKeywords:迟缓>状态。,<Block:[Block:Arg1]>点のシールドを獲得。一時的なダメージ強化+[Arg2]％追加。すべての手札の<SlowIconKeywords:遅延>状態を解除する。<SingularityKeywords:特異点転送>：このターン残り時間中、他の覚醒体の指令カードを使用するごとに、1層<SilkKeywords:織命>を消費して「<DerivativeCardKeywords_137:無限の糸>」の追撃を行う。,<Block:[Block:Arg1]>点シールドを得て、一時的なダメージ強化+[Arg2]％、すべての手札の<SlowIconKeywords:遅延>ステータスを除去する。,
Skill_126486_OverLimitUtlSkillDesc,bNAL,j技能表_Skill_A.csv,1594,Skill,OverLimitUtlSkillDesc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾，临时伤害强效 +[Arg2]％，移除所有手牌的<SlowIconKeywords:迟缓>状态。生成手中和超维空间最多 5 张具有<SingularityKeywords1:奇点信标>卡牌的临时原始复制，将其随机置入抽牌堆和弃牌堆并使其算力消耗变为 0。,<Block:[Block:Arg1]>点のシールドを獲得。一時的なダメージ強化+[Arg2]％追加。すべての手札の<SlowIconKeywords:遅延>状態を解除する。手札と超次元空間にある<SingularityKeywords1:特異点ビーコン>を持つカードを最大5枚まで一時的な基本のコピーを生成し、ランダムに山札と捨て札に置き、その行動力消費を0にする。<SingularityKeywords:特異点転送>：このターン残り時間中、他の覚醒体の指令カードを使用するごとに、1層<SilkKeywords:織命>を消費して「<DerivativeCardKeywords_137:無限の糸>」の追撃を行う。,<Block:[Block:Arg1]>点シールドを得て、一時的なダメージ強化+[Arg2]％、すべての手札の<SlowIconKeywords:遅延>ステータスを除去する。手札と超次元空間にある<SingularityKeywords1:奇点ビーコン>カードを最大5枚の一時的オリジナルコピーを生成し、ランダムにドロー山と捨て札に置き、その行動力消費を0にする。,
AwakerTalent_127223_TalentDesc_1,bOzl,h唤醒体天赋_AwakerTalent_A_M.csv,11,AwakerTalent,TalentDesc,阿拉克涅,·阿拉克涅在队伍中时，将替换「超维」界域为「奇点·超维」界域。\n·维度穿梭：每回合首次打出指令卡后触发该效果，将其临时原始复制置入超维空间并为其和临时复制赋予 25 层「奇点信标」，超维回合无法发动该效果。\n·奇点信标：每拥有 1 层使该卡牌造成的伤害、力量和触腕伤害提高、固定中毒、固定反击最终效果提高 2%，护盾、生命回复、力量降低的最终效果提高 1%，打出后移除。拥有奇点信标的卡牌无法触发「维度穿梭」。\n·超维空间：超维空间达到上限时回合结束改为发动超维空间：不再获得额外回合，弃掉非保留手牌并触发虚无效果、将超维空间所有卡牌置入手中，将当前算力设置为 5 点。发动超维空间后，本回合视为超维回合。\n·「奇点湮灭」：取出超维空间最左侧的卡牌。3 回合冷却。\n·探索开始后队伍伤害强效 +50%，并获得 15 层「奇点棱镜」。\n·「奇点棱镜」：所有指令卡视为拥有等量奇点信标的加成。\n·超维精通：队伍每有 1 点界域精通，使「奇点棱镜」和「维度穿梭」施加的「奇点信标」层数提高 0.05％。\n·至纯超维：如果队伍仅由超维或混沌唤醒体组成，超维精通效果和界域提供的伤害强效翻倍。,・アラクネがチームにいる場合、「超次元」界域を「特異点・超次元」界域に置き換える。\n・次元転移：毎ターン最初に使用する指令カードの一時的な基本のコピーを、超次元空間に置く。カードと一時的なコピーに25層の「特異点ビーコン」を付与します。超次元ターンではこの効果を発動できない。\n・特異点ビーコン：1層ごとにこのカードが与えるダメージ、力、触腕ダメージが2％増加し、固定毒、固定カウンター、固定運命の裁きの最終効果が2％増加する。シールド、ライフ回復、力減少の最終効果が1％増加する。使用後に除去される。「特異点ビーコン」を持つカードは「次元転移」を発動できない。\n・超次元空間：超次元空間が上限に達すると、ターン終了して「超次元空間」を発動することに変更する。「超次元ターン」を獲得せず、非保持のカードを捨てて虚無効果を発動し、超次元空間のすべてのカードを手札に置き、現在の行動力を5点に設定する。「超次元空間」を発動した後、このターンは超次元ターンと見なされる。\n・「特異点湮滅」：超次元空間の一番左のカードを取り出す。クールダウン3ターン。\n・探索開始後、チームのダメージ強化が+50％になり、15層の「奇点プリズム」を獲得する。\n・「特異点プリズム」：すべての指令カードは等量の特異点ビーコンの効果を持つと見なされる。\n・超次元知識：チームの界域知識1点ごとに、「特異点プリズム」と「次元転移」が付与する「特異点ビーコン」の層数が0.05％増加する。\n・至純超次元：チームが超次元または混沌の覚醒体のみで編成されている場合、超次元知識の効果と界域が提供するダメージ強化が2倍になる。,·アラクネがチームにいる場合、「超次元」界域を「特異点・超次元」界域に置き換えます。\n·次元間移動：毎ターン最初に指令カードを出した後にこの効果を発動し、その一時的オリジナルコピーを超次元空間に置き、そちらと一時コピーに25層の「奇点ビーコン」を付与します。超次元ターンではこの効果を発動できません。\n·奇点ビーコン：1層ごとにこのカードが与えるダメージ、力と触腕ダメージの増加、固定毒、固定カウンターの最終効果が2％増加します。シールド、ライフ回復、力減少の最終効果が1％増加し、発射後に除去されます。「奇点ビーコン」を持つカードは「次元間移動」を発動できません。\n·超次元空間：超次元空間が上限に達した場合、ターン終了を「超次元空間」を発動することに変更し、追加ターンを獲得せず、非保留手札を捨てて虚無効果を発動し、超次元空間のすべてのカードを手札に置き、現在の行動力を5点に設定します。「超次元空間」を発動した後、このターンは超次元ターンと見なされます。\n·「奇点湮滅」：超次元空間の最左側のカードを取り出します。3ターンのクールダウン。\n·探索開始後、チームのダメージ強化が+50％になり、15層の「奇点プリズム」を獲得します。\n·「奇点プリズム」：すべての指令カードは等量の奇点ビーコンの効果を持つと見なされます。\n·超次元の知識：チームが1ポイントの界域知識を持つごとに、「奇点プリズム」と「次元間移動」が付与する「奇点ビーコン」の層数が0.05％増加します。\n·至純超次元：チームが超次元または混沌の覚醒体のみで構成されている場合、超次元の知識の効果と界域が提供するダメージ強化が倍増します。,
Skill_126490_Desc_0,bOlY,j技能表_Skill_A.csv,1595,Skill,Desc,阿拉克涅,阿拉克涅获得 <Energy:[Energy:Arg1]> 点狂气。<ExaltIconKeywords:灵知觉醒>：「湮灭」改为选择 1 张超维空间的指令卡取出，赋予「下次打出后额外生效 1 次」，使下 1 张打出的指令卡触发<SingularityKeywords3:维度穿梭>。,アラクネは<Energy:[Energy:Arg1]>狂気を獲得。<ExaltIconKeywords:霊知啓発>：「湮滅」：超次元空間のカード1枚を取り出して次に使用する時に2回効果を発動させ、 次に出す指令カードに<SingularityKeywords3:次元転移>を発動させるように変更する。,アラクネは<Energy:[Energy:Arg1]>ポイントの狂気を得る。<ExaltIconKeywords:霊知覚醒>：「湮滅」を超次元空間の指令カード1枚を選択して取り出し、「次回発射時に追加で1回効果を発揮」を付与し、次に発射する指令カードに<SingularityKeywords3:次元間移動>を発動させるように変更する。,
Skill_126490_Desc_15,bSNP,j技能表_Skill_A.csv,1595,Skill,Desc,阿拉克涅,阿拉克涅获得 <Energy:[Energy:Arg1]> 点狂气。<ExaltIconKeywords:灵知觉醒>：「湮灭」改为选择 1 张超维空间的指令卡取出，赋予「下次打出后额外生效 1 次」，使下 1 张打出的指令卡触发<SingularityKeywords3:维度穿梭>。释放「湮灭」后立刻对所有敌人造成等同于 50％「命运裁断」的固定伤害，下次狂气爆发造成的伤害强效和护盾提高 50％。,アラクネは<Energy:[Energy:Arg1]>狂気を獲得。<ExaltIconKeywords:霊知啓発>：「湮滅」：超次元空間のカード1枚を取り出して次に使用する時に2回効果を発動させ、 次に出す指令カードに<SingularityKeywords3:次元転移>を発動させるように変更する。湮滅を使用後、すべての敵に「運命の裁き」の50％分の固定ダメージを与える。次の狂気解放によるダメージ強化とシールドが50％増加する。,アラクネは<Energy:[Energy:Arg1]>ポイントの狂気を得る。<ExaltIconKeywords:霊知覚醒>：「湮滅」を超次元空間の指令カード1枚を選択して取り出し、「次回発射時に追加で1回効果を発揮」を付与し、次に発射する指令カードに<SingularityKeywords3:次元間移動>を発動させるように変更する。「湮滅」を放った後、すべての敵に「運命の裁断」の50％に相当する固定ダメージを即座に与え、次回の狂気解放によるダメージ強化とシールドを50％増加させる。,
