Key,CN,JP_Manual
State_134231_Desc,队伍唯一：装备者造成的护盾提高 <WeaponEffect_Num:[StateArg1]%>，装备者造成「追击」时 + <WeaponEffect_Num:[StateArg2]%> 临时强效，每回合最多生效 5 次。每当触发「维度穿梭」时，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,唯一装備：装備者が与えるシールドが<WeaponEffect_Num:[StateArg1]%>増加する。装備者が「追撃」を発動時、+<WeaponEffect_Num:[StateArg2]%>の一時強化、毎ターン最大5回まで累積可能。「次元転移」の発動時、装備者は<WeaponEffect_Num:[StateArg3]>狂気を獲得。
State_134231_WeaponDesc,装备者造成的护盾提高 <WeaponEffect_Num:[StateArg1]%>，装备者造成「追击」时 + <WeaponEffect_Num:[StateArg2]%> 临时强效，每回合最多生效 5 次。每当触发「维度穿梭」时，装备者获得 <WeaponEffect_Num:[StateArg3]> 点狂气。,装備者が与えるシールドが<WeaponEffect_Num:[StateArg1]%>増加する。装備者が「追撃」を発動時、+<WeaponEffect_Num:[StateArg2]%>の一時強化、毎ターン最大5回まで累積可能。「次元転移」の発動時、装備者は<WeaponEffect_Num:[StateArg3]>狂気を獲得。
PanelText_UI_Dungeous_Panel_RailWay_Text_C_Hard_Content,困难,高難度
PanelText_UI_Dungeous_Panel_RailWay_Text_C_Madness_Content,癫狂,狂気
SeasonRankReward_132569_Name_4,深潜学者,深潜の学者
SeasonRankReward_132569_Name_5,深潜大师,深潜の達人
SeasonRankReward_132568_Name_1,相位新手,初心者
SeasonRankReward_132568_Name_2,对弈学徒,見習い
SeasonRankReward_132568_Name_3,相位精英,エリート
SeasonRankReward_132568_Name_4,对弈大师,マスター
SeasonRankReward_132568_Name_5,相位支配者,支配者
SeasonRankReward_132568_Name_6,相位传奇,伝説
SeasonRankReward_132566_Name_2,卧铺贵族,レールの旅人
SeasonRankReward_132566_Name_5,安保大元帅,ベテランの車掌
SeasonRankReward_132566_Name_6,传奇老车长,伝説の車掌
SeasonRankReward_132567_Name_1,相位新手,初心者
SeasonRankReward_132567_Name_2,对弈学徒,見習い
SeasonRankReward_132567_Name_3,相位精英,エリート
SeasonRankReward_132567_Name_4,对弈大师,マスター
SeasonRankReward_132567_Name_5,相位支配者,支配者
SeasonRankReward_132567_Name_6,相位传奇,伝説
