RelicConfig_13829_BattleDesc,aJlJ,z造物_RelicConfig_A.csv,9,RelicConfig,BattleDesc,,一串锈迹斑斑的钥匙。可用于开启门锁。,錆びた鍵束。\n扉の鍵を解放するために使用する。
RelicConfig_13829_Desc,aJlK,z造物_RelicConfig_A.csv,9,RelicConfig,Desc,,一串锈迹斑斑的钥匙。可用于开启门锁。,錆びた鍵束。\n扉の鍵を解放するために使用する。
RelicConfig_13829_Name,aJlL,z造物_RelicConfig_A.csv,9,RelicConfig,Name,,锈蚀钥匙,錆びた鍵
RelicConfig_20171_BattleDesc,aJuF,z造物_RelicConfig_A.csv,10,RelicConfig,BattleDesc,,拾取时随机获得 1 个白银造物、1 个黄金造物、1 个诅咒造物。,入手時、ランダムに低級遺物を1つ、高級遺物を1つ、呪われた遺物を1つ獲得する。
RelicConfig_20171_Desc,aJuG,z造物_RelicConfig_A.csv,10,RelicConfig,Desc,,拾取时随机获得 1 个白银造物、1 个黄金造物、1 个诅咒造物。,入手時、ランダムに低級遺物を1つ、高級遺物を1つ、呪われた遺物を1つ獲得する。
RelicConfig_20171_Name,aJuH,z造物_RelicConfig_A.csv,10,RelicConfig,Name,,<OrangeQuality:逆向观赏+>,<OrangeQuality:逆向鑑賞+>
RelicConfig_20171_StoryDesc,aJuI,z造物_RelicConfig_A.csv,10,RelicConfig,StoryDesc,,在奇异的纪元中，花朵才是人类的第一观赏者。\n不要动弹，祂们更偏爱安静的展品。,奇妙な時代に、花は人類の最初の鑑賞者だった。\n動かないで、彼らは静かな展示品を好む。
RelicConfig_20170_BattleDesc,aJuB,z造物_RelicConfig_A.csv,11,RelicConfig,BattleDesc,,战斗开始时，所有唤醒体获得 50 点狂气。将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,入手時、すべての覚醒体が50狂気を獲得し、<DerivativeCardKeywords_1:「影の残響」>を2枚手札に追加する。
RelicConfig_20170_Desc,aJuC,z造物_RelicConfig_A.csv,11,RelicConfig,Desc,,战斗开始时，所有唤醒体获得 50 点狂气。将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,入手時、すべての覚醒体が50狂気を獲得し、<DerivativeCardKeywords_1:「影の残響」>を2枚手札に追加する。
RelicConfig_20170_Name,aJuD,z造物_RelicConfig_A.csv,11,RelicConfig,Name,,<OrangeQuality:通讯设备+>,<OrangeQuality:通信機+>
RelicConfig_20170_StoryDesc,aJuE,z造物_RelicConfig_A.csv,11,RelicConfig,StoryDesc,,期待或恐惧它发出清脆铃声的瞬间。,そのベルの音が鳴る瞬間を期待し、または恐れる。
RelicConfig_67793_BattleDesc,aJCp,z造物_RelicConfig_A.csv,12,RelicConfig,BattleDesc,,战斗开始时，所有唤醒体获得 50 点狂气。将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,入手時、すべての覚醒体が50狂気を獲得し、<DerivativeCardKeywords_1:「影の残響」>を2枚手札に追加する。
RelicConfig_67793_Desc,aJCq,z造物_RelicConfig_A.csv,12,RelicConfig,Desc,,拾取时，所有唤醒体获得 50 点狂气，将 2 张<DerivativeCardKeywords_1:「遗影回响」>置入手中。,入手時、すべての覚醒体が50狂気を獲得し、<DerivativeCardKeywords_1:「影の残響」>を2枚手札に追加する。
RelicConfig_67793_Name,aJCr,z造物_RelicConfig_A.csv,12,RelicConfig,Name,,<OrangeQuality:通讯设备+β>,<OrangeQuality:通信機+β>
RelicConfig_67793_StoryDesc,aJCs,z造物_RelicConfig_A.csv,12,RelicConfig,StoryDesc,,期待或恐惧它发出清脆铃声的瞬间。,そのベルの音が鳴る瞬間を期待し、また恐れる。
RelicConfig_20176_BattleDesc,aJuZ,z造物_RelicConfig_A.csv,13,RelicConfig,BattleDesc,,回合开始时每有 1 名敌人就获得 2 算力。主动伤害击杀敌人时，对其他敌人造成双倍过量伤害的<BleedingIconKeywords:出血>。,ターン開始、敵1体につき2点の行動力を獲得する。アクティブダメージで敵を倒すと、他の敵に過剰ダメージの2倍の<BleedingIconKeywords:出血>を付与する。
RelicConfig_20176_Desc,aJva,z造物_RelicConfig_A.csv,13,RelicConfig,Desc,,回合开始时每有 1 名敌人就获得 2 算力。主动伤害击杀敌人时，对其他敌人造成双倍过量伤害的<BleedingIconKeywords:出血>。,ターン開始、敵1体につき2点の行動力を獲得する。アクティブダメージで敵を倒すと、他の敵に過剰ダメージの2倍の<BleedingIconKeywords:出血>を付与する。
