普通开场,拉蒙娜,Ramona,PVPOpeningVoice_100050_AwakerVoiceContent,我将以推演辨明前路。,推論から進むべき道を見定めましょう。
角色关系对话1-朵尔,拉蒙娜,Ramona,PVPOpeningVoice_99852_AwakerVoiceContent,和朵尔老师对战，就像回到了调查员特训课堂上一样。,ドール先生と対戦するなんて、授業で特訓を受けていた頃に戻ったみたいだわ。
,朵尔,Doll,PVPOpeningVoice_100223_AwakerVoiceContent,那就让我检查一下你的训练情况吧，优等生。,では、あなたの訓練の成果を見させてもらいましょう、優等生さん。
角色关系对话2-环行·拉蒙娜,拉蒙娜,Ramona,PVPOpeningVoice_100080_AwakerVoiceContent,守护搭档的意志，我不会输给你。,パートナーを守る覚悟なら、あなたにも負けないわ。
,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_100039_AwakerVoiceContent,我无意竞争，但如果你执意想证明什么，请吧，另一个我。,競うつもりはないが、どうしてもいうのならお好きにどうぞ、もう一人の私。
角色关系对话3-泰旖丝,拉蒙娜,Ramona,PVPOpeningVoice_99906_AwakerVoiceContent,你那套诱骗他人的方法，对我不起作用。,あなたの人を惑わすそのやり方は、私には通用しないわ。
,泰旖丝,Thais,PVPOpeningVoice_100120_AwakerVoiceContent,呵呵，像这样倔强的孩子也别有可爱之处呢。,ふふ、そうやって頑固なところも、かえって可愛らしいわね。
角色关系对话4-詹金,拉蒙娜,Ramona,PVPOpeningVoice_100056_AwakerVoiceContent,詹金同学，看这个样子，想必唤醒体战斗技巧课的作业你都没有做吧？,ジェンキン、その様子だと、覚醒体戦闘技法の宿題もやっていないようね？
,詹金,Jenkin,PVPOpeningVoice_99744_AwakerVoiceContent,……谁说的，你有什么证据？我可不承认！,……誰がそんなこと言ったんだ？証拠でもあるのか？あたしは認めないぞ！
思考,拉蒙娜,Ramona,PVPOpeningVoice_100210_AwakerVoiceContent,要考虑所有细节……,すべての細部まで考えないと……
催促,拉蒙娜,Ramona,PVPOpeningVoice_100090_AwakerVoiceContent,想不出应对的办法了吗？,対応策が思いつかないの？
必杀,拉蒙娜,Ramona,PVPOpeningVoice_99805_AwakerVoiceContent,这是计划的最后一步！,これが計画の最終段階よ！
错误,拉蒙娜,Ramona,PVPOpeningVoice_100192_AwakerVoiceContent,方案需要重新修订……,計画を練り直す必要があるわね……
死亡,拉蒙娜,Ramona,PVPOpeningVoice_100028_AwakerVoiceContent,策略失败，下次要调整方案了……,戦略は失敗ね。次は計画を見直さないと……
普通开场,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99799_AwakerVoiceContent,只要你呼唤我，我一直都在。,あなたが呼んでくれさえすれば、私はいつでもそこにいる。
角色关系对话2-萝坦,萝坦,Lotan,PVPOpeningVoice_100132_AwakerVoiceContent,咦？剑术变得很不一样的拉蒙娜，有意思，来过两招！,ほう、ずいぶんと剣技が様変わりしたではないか、ラモンナ。面白い、我が相手をしてやろう！
,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99994_AwakerVoiceContent,和萝坦切磋吗，真是……令人怀念的感觉。,ロータンと手合わせか……なんとも懐かしい気分だ。
角色关系对话3-塔薇,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99789_AwakerVoiceContent,在我的意识消失之前，我会守护守密人到最后一刻。,私の意識が消えるその時まで、私は守秘者を守り抜く。
,塔薇,Tawil,PVPOpeningVoice_99845_AwakerVoiceContent,很抱歉，即使是我也无法逆转这一过程。,すまぬ……たとえ我といえども、そなたの運命を変えることはできぬのだ。
角色关系对话4-熔毁·朵尔,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_100196_AwakerVoiceContent,没想到朵尔老师会变成这样，命运真是无常……,ドール先生がこんなふうになってしまうとは……運命とは、つくづく無常なものだ。
,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_99934_AwakerVoiceContent,我们的优等生倒是一成不变的无趣呢。,うちの優等生は、相変わらずつまらないままね。
思考,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99865_AwakerVoiceContent,这样么，我会想出万全的办法……,そうか、万全の策を考えよう……
催促,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99988_AwakerVoiceContent,速战速决！,速攻で終わらせる！
必杀,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99888_AwakerVoiceContent,这一剑，通往胜利的未来！,この一撃が、勝利の未来へと通じる！
错误,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_99812_AwakerVoiceContent,怎么会……,どうして……
死亡,环行·拉蒙娜,Ramona: Timeworn,PVPOpeningVoice_100051_AwakerVoiceContent,没能，守护你……,あなたを……守れなかった……
普通开场,朵尔,Doll,PVPOpeningVoice_99782_AwakerVoiceContent,这次战斗最好值得我的出勤。,この戦闘に、私が出撃するだけの価値があるといいわね。
角色关系对话2-塔薇,朵尔,Doll,PVPOpeningVoice_100114_AwakerVoiceContent,与智之质体的战斗，能否获悉未知的奥秘，我很期待。,知の神子との戦い、未知の神秘を解き明かせるか、楽しみだわ。
,塔薇,Tawil,PVPOpeningVoice_100154_AwakerVoiceContent,门后的知识永远为智慧的人敞开。,扉の向こうの知識は、常に知恵ある者に開かれている。
角色关系对话3-熔毁·朵尔,熔毁朵尔,Doll: Inferno,PVPOpeningVoice_99825_AwakerVoiceContent,我现在倒是开始理解血链·希洛那家伙的心情了，看到如此天真的自己，真是有些可笑。,今なら、血鎖・ヘロットの気持ちが分かる気がするわ。あの頃の無垢な自分を見ると、滑稽でたまらない。
,朵尔,Doll,PVPOpeningVoice_100081_AwakerVoiceContent,看到你我才明白自己的傲慢，对知识过于贪婪，无异于玩火自焚。,あなたを見てようやく、自分の傲慢さに気づいたわ。知識を求めすぎれば、火遊びのように身を滅ぼすのだとね。
角色关系对话4-艾瑞卡,朵尔,Doll,PVPOpeningVoice_99840_AwakerVoiceContent,这样强度的战斗反馈，似乎可以用来升级艾瑞卡的战斗系统。,このレベルの実戦なら、エリカの戦闘システムの強化に利用できそうね。
,艾瑞卡,Erica,PVPOpeningVoice_99838_AwakerVoiceContent,收到指令，正在记录战斗数据。,指令を受信しました。戦闘データを記録中。
思考,朵尔,Doll,PVPOpeningVoice_100093_AwakerVoiceContent,有意思的状况……,面白い状況ね……
催促,朵尔,Doll,PVPOpeningVoice_100077_AwakerVoiceContent,浪费天才的时间是一种犯罪。,才ある者の時間を浪費するのは、罪に等しいわ。
必杀,朵尔,Doll,PVPOpeningVoice_99834_AwakerVoiceContent,就这样结束吧。,これで終わりにしましょう。
错误,朵尔,Doll,PVPOpeningVoice_100220_AwakerVoiceContent,判断失误了吗……,私の判断が、間違っていた……？
死亡,朵尔,Doll,PVPOpeningVoice_100062_AwakerVoiceContent,出人意料的展开，值得研究……,予想外の結果ね。研究する価値があるわ……
普通开场,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100086_AwakerVoiceContent,放心，我会带来最高效的死亡。,安心して、私が最も効率的な死を与えるわ。
角色关系对话3-血链·希洛,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100172_AwakerVoiceContent,我对你那毁灭一切的态度十分欣赏，不过你的效率实在低下，不如加入我的计划如何？,あなたの「すべてを破壊する」姿勢は評価するわ。でもそのやり方は効率が悪すぎる。私の計画に加わってみない？
,血链·希洛,Helot: Catena,PVPOpeningVoice_99945_AwakerVoiceContent,妄图控制我的人只有一个下场，你做好准备了吗？,私を支配しようとする者の末路は決まっている。覚悟はできたか？
角色关系对话4-温柯尔,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_99948_AwakerVoiceContent,连你这样畏畏缩缩的家伙，也有能拼命的时候嘛。,あなたのような臆病者にも、命を懸けて挑む覚悟があったのね。
,温柯尔,Winkle,PVPOpeningVoice_99749_AwakerVoiceContent,你你你不会回去罚我刷烧杯吧？,か、帰ったら、罰として私にビーカーを洗わせたりしないよね？
思考,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100010_AwakerVoiceContent,这次该如何催化毁灭呢？,今回はどうやって破滅を導こうかしら？
催促,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_99896_AwakerVoiceContent,无知者的反抗，令人厌烦。,愚かな者たちの抵抗には、うんざりするわ。
必杀,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100053_AwakerVoiceContent,挣扎就到此为止吧！,もがくのもここまでよ！
错误,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100071_AwakerVoiceContent,竟然与实验预期不符？,まさか、実験の想定と違うとでも？
死亡,熔毁·朵尔,Doll: Inferno,PVPOpeningVoice_100075_AwakerVoiceContent,哼，侥幸的运气罢了……,ふん、たまたま運が良かっただけよ……
普通开场,奥吉尔,Ogier,PVPOpeningVoice_100221_AwakerVoiceContent,以骑士之名，恳请指教！,騎士の名にかけて、ご指導お願いします！
角色关系对话1-艾尔瓦,艾尔瓦,Alva,PVPOpeningVoice_99763_AwakerVoiceContent,奥吉尔，找准时机，不要谦让，想想特训课上的内容！,オジール、タイミングを見極めろ。遠慮せず、特訓でやったことを思い出せ！
,奥吉尔,Ogier,PVPOpeningVoice_99928_AwakerVoiceContent,明白，艾尔瓦教官！,はい、アルバ教官！
角色关系对话2-潘狄娅,潘狄娅,Pandia,PVPOpeningVoice_100040_AwakerVoiceContent,哎呀，真是凌厉，作为骑士不应该让一让女士吗？,も～、ずいぶん乱暴ね。騎士なら、少しは女性に優しくするべきじゃない？
,奥吉尔,Ogier,PVPOpeningVoice_99916_AwakerVoiceContent,我……主君说过，可以忽略潘狄娅女士的发言，得罪了！,えっと……主君がパンディアさんの発言は無視してよいと言っていました。失礼します！
角色关系对话3-艾继丝,艾继丝,Aigis,PVPOpeningVoice_99854_AwakerVoiceContent,那个，可不可以……不和奥吉尔打架？,あの、どうしても戦わないと……いけませんか？
,奥吉尔,Ogier,PVPOpeningVoice_99910_AwakerVoiceContent,没事的艾继丝，这是正常的训练，请放心战斗吧！,大丈夫だよ、アイギス。これは普通の訓練だから、安心して戦ってくれ！
角色关系对话4-24,24,24,PVPOpeningVoice_100145_AwakerVoiceContent,奥吉尔明明比詹金还要小上一些，真是沉稳又可靠呢。,オジールはジェンキンより少し年下なのに、しっかりしていて頼りになるわ。
,奥吉尔,Ogier,PVPOpeningVoice_99955_AwakerVoiceContent,谢……谢谢24小姐！,あ、ありがとうございます、「24」さん！
思考,奥吉尔,Ogier,PVPOpeningVoice_100105_AwakerVoiceContent,嗯……快想一想，成熟的骑士会怎么做……,うーん……よく考えるんだ、真の騎士ならどうするか……
催促,奥吉尔,Ogier,PVPOpeningVoice_99989_AwakerVoiceContent,没关系，我会等待您的出手！,構いません、あなたの一手を待ちましょう！
必杀,奥吉尔,Ogier,PVPOpeningVoice_99801_AwakerVoiceContent,请注意，我将使出全力！,気をつけてください、全力でいきます！
错误,奥吉尔,Ogier,PVPOpeningVoice_99908_AwakerVoiceContent,这招式不管用吗……,この技が効かないなんて……
死亡,奥吉尔,Ogier,PVPOpeningVoice_99810_AwakerVoiceContent,真是令人敬佩的对手……,なんて強い相手だ……
普通开场,萝坦,Lotan,PVPOpeningVoice_99781_AwakerVoiceContent,又到了我最喜欢的时候，要不要多打两场？,また我の好きな時間が来たな。もう二戦ほどやるか？
角色关系对话2-希洛,萝坦,Lotan,PVPOpeningVoice_100158_AwakerVoiceContent,又见面了，战士，让我试试你的长进！,また会ったな、戦士よ。どれほど成長したか、見せてもらおう！
,希洛,Helot,PVPOpeningVoice_100180_AwakerVoiceContent,来。,来い。
角色关系对话3-戈利亚,萝坦,Lotan,PVPOpeningVoice_100031_AwakerVoiceContent,不够不够不够！不是说巨人的力量吗？给我全都使出来啊！,まだだ、まだ足りぬ！「巨人の力」とはこの程度か？全力で来い！
,戈利亚,Goliath,PVPOpeningVoice_99991_AwakerVoiceContent,啧，怎么又是这个疯子……,ちっ、またこいつか……
角色关系对话4-尤乌哈希,萝坦,Lotan,PVPOpeningVoice_99924_AwakerVoiceContent,难得碰到一个痛快的对手！再来！,久々に全力で戦えるな！もう一戦だ！
,尤乌哈希,Uvhash,PVPOpeningVoice_100123_AwakerVoiceContent,哈哈哈哈，杀——,はははは、殺す——
思考,萝坦,Lotan,PVPOpeningVoice_100150_AwakerVoiceContent,我只是在想，一会儿该用什么姿势把你打飞！,少し考えていただけだ。どんな技でお前を倒そうかとな！
催促,萝坦,Lotan,PVPOpeningVoice_100023_AwakerVoiceContent,怎么，这就怕了吗？,どうした、怖気づいたか？
必杀,萝坦,Lotan,PVPOpeningVoice_100155_AwakerVoiceContent,准备认输吧！,さあ、降参しろ！
错误,萝坦,Lotan,PVPOpeningVoice_99891_AwakerVoiceContent,啧，失手了吗。,ちっ、しくじったか。
死亡,萝坦,Lotan,PVPOpeningVoice_100067_AwakerVoiceContent,痛快……,悪くない……
普通开场,24,24,PVPOpeningVoice_99754_AwakerVoiceContent,我们……会一起努力的！,私……私たちは、一緒に頑張ります！
角色关系对话2-詹金,24,24,PVPOpeningVoice_100095_AwakerVoiceContent,哎呀，詹金，你的衣服什么时候又磨破了，快拿来让我补一补。,まあ、ジェンキン。あなたの服、いつの間に擦り切れたの？早く持ってきて、私が直してあげるから。
,詹金,Jenkin,PVPOpeningVoice_99878_AwakerVoiceContent,没事的姐姐，这有什么，现在东区街头都这么穿！,大丈夫だって、姉ちゃん！これくらい何でもないさ、東区ではみんなこんな格好してるんだから！
角色关系对话3-宁菲亚,24,24,PVPOpeningVoice_100217_AwakerVoiceContent,宁菲亚小姐的疗养院中，也有很多像我这样的人吗？,ニムフィーアさんの療養所には、私のような人もたくさんいるのでしょうか？
,宁菲亚,Nymphaea,PVPOpeningVoice_100064_AwakerVoiceContent,比起那些病人，梅森小姐已经算非常健康的了。,あの患者さんたちに比べれば、メイソンさんは十分健康な方ですよ。
角色关系对话4-艾继丝,艾继丝,Aigis,PVPOpeningVoice_100007_AwakerVoiceContent,梅森姐……小姐。,こんにちは、メイソン……さん。
,24,24,PVPOpeningVoice_100111_AwakerVoiceContent,没关系的艾继丝，你和詹金一样，叫我姐姐就好。,大丈夫よ、アイギス。あなたもジェンキンと同じように、私のことを「姉さん」と呼んでいいのよ。
思考,24,24,PVPOpeningVoice_99909_AwakerVoiceContent,嗯……好像有些复杂，没关系，和其他的我一起商量吧。,うーん……ちょっと複雑そうだけど、大丈夫。他の私たちと相談してみるわ。
催促,24,24,PVPOpeningVoice_100195_AwakerVoiceContent,我的出场时间有限，不要挑战我的耐心啊。,私の出番は限られているのよ。私を怒らせないで。
必杀,24,24,PVPOpeningVoice_99794_AwakerVoiceContent,一起——给我一起消失吧！,まとめて——消え失せろ！
错误,24,24,PVPOpeningVoice_99917_AwakerVoiceContent,呃……这样不对……不……,うっ……こんな、はずでは……
死亡,24,24,PVPOpeningVoice_99984_AwakerVoiceContent,噫，这是什么感觉，我要死了吗？詹金……,えっ、この感覚は何？私は死んでしまうの？ジェンキン……
普通开场,诺缔拉,Nautila,PVPOpeningVoice_100162_AwakerVoiceContent,诶？这是哪里？是新的冒险吗？,えっ？ここはどこ？新しい冒険？
角色关系对话1-艾瑞卡,诺缔拉,Nautila,PVPOpeningVoice_99951_AwakerVoiceContent,好神奇的机械结构，真想拆开研究一下啊。,なんて不思議な機械の仕組みだろう、分解して研究してみたいなあ。
,艾瑞卡,Erica,PVPOpeningVoice_99882_AwakerVoiceContent,驳回请求，检修权限未通过。,リクエスト却下。メンテナンス権限が承認されていません。
角色关系对话2-艾尔瓦,诺缔拉,Nautila,PVPOpeningVoice_99747_AwakerVoiceContent,我记得你，好久不见！你的伤腿是不是又该保养了？,君のこと、覚えてるよ。久しぶりだね！その怪我した足、また手入れが必要なんじゃない？
,艾尔瓦,Alva,PVPOpeningVoice_100012_AwakerVoiceContent,感谢你的关心，但我们前天不是刚刚检修过？,気遣いに感謝する。だが、一昨日点検したばかりじゃなかったか？
角色关系对话3-希莱斯特,希莱斯特,Celeste,PVPOpeningVoice_99873_AwakerVoiceContent,需要出海的时候，就向我许愿吧。,海に出るなら、私に願いを託すといいわ。
,诺缔拉,Nautila,PVPOpeningVoice_99816_AwakerVoiceContent,永不迷失的引航神女啊，要是当年有这样的存在……那时候我在干什么来着？,決して迷うことのない航海の女神、か……もしあの頃、君のような存在がいたら……あの時、私は何をしていたんだっけ？
角色关系对话4-克珀珊特,克珀珊特,Corposant,PVPOpeningVoice_100118_AwakerVoiceContent,一位优秀的修理工，在远航之中比船长还要重要。,優秀な整備士は、長い航海においては船長よりも重要な存在です。
,诺缔拉,Nautila,PVPOpeningVoice_99798_AwakerVoiceContent,是在夸我吗？谢谢啦，不过我不记得我有修过船啊……我修过吗？,褒めてくれてるの？ありがとう。でも船を修理した覚えはないんだけど……修理したことあったっけ？
思考,诺缔拉,Nautila,PVPOpeningVoice_100127_AwakerVoiceContent,这个我好像没见过……别急，我会弄明白的。,これ、見たことないな……焦らないで、ちゃんと調べるから。
催促,诺缔拉,Nautila,PVPOpeningVoice_99980_AwakerVoiceContent,快点快点，我要忍不住发动引擎啦！,早く早く、待ちきれないよ！エンジンをかけちゃうぞ！
必杀,诺缔拉,Nautila,PVPOpeningVoice_100140_AwakerVoiceContent,鹦鹉螺号，全速前进！,ノーチラス号、全速前進！
错误,诺缔拉,Nautila,PVPOpeningVoice_99821_AwakerVoiceContent,哎哎，发动机怎么熄火了！,えっ、ちょっと、エンジンが止まっちゃったよ！
死亡,诺缔拉,Nautila,PVPOpeningVoice_99913_AwakerVoiceContent,冒险终止，让我先休整一下吧……,冒険はここまで。ちょっと休ませて……
普通开场,宁菲亚,Nymphaea,PVPOpeningVoice_100179_AwakerVoiceContent,以此孱弱之躯，静候您的差遣。,非力な身ですが、何なりとご命令ください。
角色关系对话2-奥尔拉,宁菲亚,Nymphaea,PVPOpeningVoice_99755_AwakerVoiceContent,我拜读了奥尔拉小姐的诗集，里面每一首诗我都很喜欢呢，有机会的话可以邀约您一起读诗吗？,オルラさんの詩集を拝見しましたが、どの詩も本当に素晴らしかったです。もしよろしければ、一緒に詩を読んでみませんか？
,奥尔拉,Horla,PVPOpeningVoice_100203_AwakerVoiceContent,当然可以！原来宁菲亚小姐也喜欢诗，不介意的话，我有很多珍藏的旧诗集可以一起分享。,もちろんです！ニムフィーアさんも詩がお好きだったんですね。よろしければ、私が大切にしている古い詩集もお見せしましょう。
角色关系对话3-莉莉,宁菲亚,Nymphaea,PVPOpeningVoice_99938_AwakerVoiceContent,我每天都在认真打理疗养院，等她回来的时候，一切都会是最好的样子……你放心。,私は毎日、療養所を丁寧に管理しています。彼女が戻ってくる頃には、きっとすべてが整っているでしょう……ですから、安心してください。
,莉莉,Lily,PVPOpeningVoice_100212_AwakerVoiceContent,莉莉，相信你。,リリー、信じてる。
角色关系对话4-珊,宁菲亚,Nymphaea,PVPOpeningVoice_99817_AwakerVoiceContent,一想到还有人也如此向往着深海，我就感到由衷的喜悦。,他にもこれほど深海に憧れている人がいると思うと、心から嬉しくなります。
,珊,Sanga,PVPOpeningVoice_99949_AwakerVoiceContent,当然，您是一位颇有品味的女士。,ええ、あなたは本当にセンスがいいわね。
思考,宁菲亚,Nymphaea,PVPOpeningVoice_99998_AwakerVoiceContent,既然是您的期望，我会尽力而为。,ご期待に沿えるよう、最善を尽くします。
催促,宁菲亚,Nymphaea,PVPOpeningVoice_100097_AwakerVoiceContent,漫长的等待，总是如此令人心焦。,待つ時間が長いと、どうしても心が落ち着きませんね。
必杀,宁菲亚,Nymphaea,PVPOpeningVoice_100089_AwakerVoiceContent,来吧，沉入大海的怀抱吧！,さあ、海の底へ沈みましょう！
错误,宁菲亚,Nymphaea,PVPOpeningVoice_99947_AwakerVoiceContent,终究还是没能避免这份不幸吗？,結局、この不運からは逃れられなかったのでしょうか？
死亡,宁菲亚,Nymphaea,PVPOpeningVoice_99944_AwakerVoiceContent,回归……沉眠……,また……眠りの中へ……
普通开场,莉莉,Lily,PVPOpeningVoice_100066_AwakerVoiceContent,是这样做吗？莉莉明白了。,こうするの？わかった。
角色关系对话1-艾继丝,莉莉,Lily,PVPOpeningVoice_100091_AwakerVoiceContent,脓疱，喜欢艾继丝。,「膿」たち、みんなアイギスが好き。
,艾继丝,Aigis,PVPOpeningVoice_100135_AwakerVoiceContent,哎？谢谢，我，我也喜欢它们……,え？ありがとう、わ、私も好きよ……
角色关系对话2-希洛,莉莉,Lily,PVPOpeningVoice_99964_AwakerVoiceContent,熟悉的气味，很好闻，莉莉很安心。,懐かしい香り……心地よくて、安心する。
,希洛,Helot,PVPOpeningVoice_100043_AwakerVoiceContent,毕竟我们是同源的双子……“姐妹”么，呵。,結局、私たちは同じ源から生まれた双子……「姉妹」か、ふん。
角色关系对话3-奥瑞塔,奥瑞塔,Aurita,PVPOpeningVoice_99894_AwakerVoiceContent,哇，你也有好多好多和奥瑞塔一样的伙伴，大家一起去大海里玩吧！,わあ、あなたもオレッタと同じで仲間がたくさんいるんだね！みんなで一緒に海へ遊びに行こうよ！
,莉莉,Lily,PVPOpeningVoice_99788_AwakerVoiceContent,脓疱，不是水母……,「膿」は、クラゲじゃない……
思考,莉莉,Lily,PVPOpeningVoice_100182_AwakerVoiceContent,莉莉，听主人的话。,ご主人の言うとおりにする。
催促,莉莉,Lily,PVPOpeningVoice_100218_AwakerVoiceContent,脓疱，越来越激动了。,「膿」も興奮してきた。
必杀,莉莉,Lily,PVPOpeningVoice_99804_AwakerVoiceContent,莉莉，会保护主人！,ご主人を守る！
错误,莉莉,Lily,PVPOpeningVoice_100209_AwakerVoiceContent,这样，不对吗？,これじゃ、ダメなの？
死亡,莉莉,Lily,PVPOpeningVoice_99770_AwakerVoiceContent,莉莉……没力气了……,リリー、もう力が出ない……
普通开场,珈伦,Karen,PVPOpeningVoice_99844_AwakerVoiceContent,您的万能女仆，随时恭候您的吩咐！,万能メイドが、いつでもご用命をお待ちしております！
角色关系对话1-索蕾尔,珈伦,Karen,PVPOpeningVoice_100189_AwakerVoiceContent,哦我尊敬的夫人，您最忠心的、勤劳的万能女仆向您致以最崇高的敬意！,おお、敬愛する奥様。奥様に、最も忠実で勤勉な万能メイドが、心よりの敬意を込めてご挨拶申し上げます！
,索蕾尔,Sorel,PVPOpeningVoice_99742_AwakerVoiceContent,能让珈伦这样勤快地干活，想必她收了你不少小费吧。,カレンがこれほど熱心に働くなんて、きっとあなたからたくさんチップを貰ったのでしょうね。
角色关系对话2-墨菲,墨菲,Murphy,PVPOpeningVoice_100003_AwakerVoiceContent,你再敢把你那黑乎乎、臭烘烘的蛋糕拿到我面前来，我就把你的脑袋打开花！,今度またその真っ黒で臭いケーキをわたくしの目の前に持ってきたら、お前の頭をかち割ってやるわ！
,珈伦,Karen,PVPOpeningVoice_99877_AwakerVoiceContent,噫——可是，珈伦明明觉得很好吃啊……,ううっ……でも、カレンは本当に美味しいと思ってるんですけど……
角色关系对话3-阿格里帕,阿格里帕,Agrippa,PVPOpeningVoice_100001_AwakerVoiceContent,你是专业的奴隶吧，去，给我把迷宫都打扫一遍！,お前はプロの下僕なのね？それなら迷宮へ行って、隅々まで掃除してきなさい！
,珈伦,Karen,PVPOpeningVoice_99824_AwakerVoiceContent,珈伦可不是能够随意指使的对象！要给钱的嘛，小姐。,カレンは好き勝手に指図できる相手ではありません！チップはいただきますからね、お嬢さん。
角色关系对话4-杜勒赛因,杜勒赛因,Doresain,PVPOpeningVoice_99773_AwakerVoiceContent,完美的仆人，只差最后一步……成为死灵。这位小姐，有兴趣加入我们的盛筵吗？,なんと素晴らしい従者でしょう。あとは死霊となるのみ……いかがです、お嬢さん。我々の宴に参加してみませんか？
,珈伦,Karen,PVPOpeningVoice_99842_AwakerVoiceContent,哈哈……珈伦、珈伦不需要太完美就好了！,はは……カ、カレンには完璧である必要なんてありません！
思考,珈伦,Karen,PVPOpeningVoice_100214_AwakerVoiceContent,如此高深的问题，让珈伦好好想想，想想……,なんて難しい問題でしょう、ちょっとカレンに考えさせてください……
催促,珈伦,Karen,PVPOpeningVoice_100191_AwakerVoiceContent,抓紧呀，珈伦还要赶回去收衣服呢！,急いでください！カレンは洗濯物を取りに行かないといけないんです！
必杀,珈伦,Karen,PVPOpeningVoice_99973_AwakerVoiceContent,请品尝吧！珈伦的特制大餐！,さあ、どうぞ！カレンの特製料理ですよ！
错误,珈伦,Karen,PVPOpeningVoice_100074_AwakerVoiceContent,啊，忘记放盐了吗？,あっ、塩を入れ忘れたかな？
死亡,珈伦,Karen,PVPOpeningVoice_99995_AwakerVoiceContent,哎呀……搞砸了……,あちゃー……やっちゃった……
普通开场,艾尔瓦,Alva,PVPOpeningVoice_100057_AwakerVoiceContent,艾尔瓦准备完成，随时出战。,準備完了、いつでも出撃可能だ。
角色关系对话2-尤乌哈希,艾尔瓦,Alva,PVPOpeningVoice_100073_AwakerVoiceContent,竟然把一个战士变成了这样的存在，这是对军人的亵渎。,一人の戦士をこのような存在に変えてしまうとは、軍人に対する冒涜だ。
,尤乌哈希,Uvhash,PVPOpeningVoice_99999_AwakerVoiceContent,无所谓，他们早就死光了。,どうでもいい。奴らはとっくに死に絶えている。
角色关系对话4-温柯尔,温柯尔,Winkle,PVPOpeningVoice_100055_AwakerVoiceContent,如果我为你研究一款自动化义肢的话，能不能请你晚上帮我看守我的光源装置……,君のために自動義肢を開発するから、その代わりに夜、私の光源装置を見張ってくれないかな……？
,艾尔瓦,Alva,PVPOpeningVoice_99959_AwakerVoiceContent,虽然不明白这个请求的意义，不过我很乐意帮你的忙。,依頼の意味がよく分かりませんが、喜んで手伝いましょう。
思考,艾尔瓦,Alva,PVPOpeningVoice_99828_AwakerVoiceContent,针对战况，要随时调整战术布局。,戦況に応じて、陣形を整えよう。
催促,艾尔瓦,Alva,PVPOpeningVoice_100035_AwakerVoiceContent,抓紧时机，战场不等人。,好機を逃すな。戦場は待ってくれないぞ。
必杀,艾尔瓦,Alva,PVPOpeningVoice_100113_AwakerVoiceContent,一击制敌！,一撃で仕留める！
错误,艾尔瓦,Alva,PVPOpeningVoice_100019_AwakerVoiceContent,看来这次的战术未能奏效。,どうやら、今回の戦術はうまくいかなかったようだな。
死亡,艾尔瓦,Alva,PVPOpeningVoice_100197_AwakerVoiceContent,失败，是战争的常事……,失敗か、戦争ではよくあることだ……
普通开场,莱克,Ryker,PVPOpeningVoice_99785_AwakerVoiceContent,名侦探的出场费，可是很贵的哦。,名探偵の出演料は、高くつくからね。
角色关系对话1-索蕾尔,莱克,Ryker,PVPOpeningVoice_99771_AwakerVoiceContent,这位尊贵的夫人，以您的财富，想必不介意和我小小地赌一场吧？,そこの高貴なご夫人、あなたほど裕福な方なら、私とささやかな賭け事で勝負をするのもやぶさかではないでしょう？
,索蕾尔,Sorel,PVPOpeningVoice_100103_AwakerVoiceContent,话虽如此，不过我不太喜欢油嘴滑舌的人呢。,そうね、でも口のお上手な方はどうにも信用できなくて。
角色关系对话2-希莱斯特,莱克,Ryker,PVPOpeningVoice_100215_AwakerVoiceContent,虽然对自己的运气很自信，不过如果能许愿的话，当然希望好运越多越好啦。,自分の運には自信があるけれど、願いが叶うなら、もちろん幸運は多ければ多いほどいいよね。
,希莱斯特,Celeste,PVPOpeningVoice_99753_AwakerVoiceContent,好模糊的愿望，不过，我会尽力为你祈祷的。,ずいぶん漠然とした願いだけど、あなたのために精一杯祈るわ。
角色关系对话3-凯刻斯,凯刻斯,Caecus,PVPOpeningVoice_100188_AwakerVoiceContent,好运么……真是个令人嫉妒的天赋。,幸運か……本当に羨ましい才能だな。
,莱克,Ryker,PVPOpeningVoice_99761_AwakerVoiceContent,哎，其实这样的人生，有时候也会略感无聊啦……,まあでも、こういう人生って時々ちょっと退屈に感じることもあるんだよね。
