Key,ShortKey,Source,Row,Module,Field,Character,CN,KR
AvgCommunicate_57594_Content_1,abqG,avg通讯器聊天表_AvgCommunicate_A_M.csv,8,AvgCommunicate,Content,拉蒙娜,搭档，这是你上次出任务错过的课程笔记和作业。,"파트너, 이건 지난 임무 때 놓친 수업 노트와 과제야."
AvgCommunicate_57594_Content_2,abqN,avg通讯器聊天表_AvgCommunicate_A_M.csv,9,AvgCommunicate,Content,拉蒙娜,记得补交。,제출하는 거 잊지 마.
AvgCommunicate_57594_Option_3,abrd,avg通讯器聊天表_AvgCommunicate_A_M.csv,10,AvgCommunicate,Option,玩家,有些事情过去了就让它过去吧……,지나간 일은 그냥 지나가게 해줘...
AvgCommunicate_57594_Content_3,abqO,avg通讯器聊天表_AvgCommunicate_A_M.csv,10,AvgCommunicate,Content,玩家,有些事情过去了就让它过去吧……,지나간 일은 그냥 지나가게 해줘...
AvgCommunicate_57594_Option_4,abre,avg通讯器聊天表_AvgCommunicate_A_M.csv,11,AvgCommunicate,Option,玩家,我这怎么突然信号不好了,갑자기 신호가 안 잡히네?
AvgCommunicate_57594_Content_4,abqP,avg通讯器聊天表_AvgCommunicate_A_M.csv,11,AvgCommunicate,Content,玩家,我这怎么突然信号不好了,갑자기 신호가 안 잡히네?
AvgCommunicate_57594_Content_6,abqR,avg通讯器聊天表_AvgCommunicate_A_M.csv,13,AvgCommunicate,Content,拉蒙娜,哦是吗？忘了告诉你，朵尔老师就在我旁边看着。,"아, 그래? 깜빡하고 얘기를 안 했는데, 돌 교수님께서 지금 옆에서 보고 계셔."
AvgCommunicate_57594_Option_7,abrh,avg通讯器聊天表_AvgCommunicate_A_M.csv,14,AvgCommunicate,Option,玩家,突然涌出了一股熊熊燃烧的学习热情。,갑자기 학구열이 불타오르는걸!
AvgCommunicate_57594_Content_7,abqS,avg通讯器聊天表_AvgCommunicate_A_M.csv,14,AvgCommunicate,Content,玩家,突然涌出了一股熊熊燃烧的学习热情。,갑자기 학구열이 불타오르는걸!
AvgCommunicate_57594_Content_8,abqT,avg通讯器聊天表_AvgCommunicate_A_M.csv,15,AvgCommunicate,Content,玩家,居然有被我落下的作业，这怎么能坐视不管呢？,"밀린 과제가 있다니, 어떻게 그냥 둘 수 있겠어?"
AvgCommunicate_57594_Content_9,abqU,avg通讯器聊天表_AvgCommunicate_A_M.csv,16,AvgCommunicate,Content,玩家,既然如此，好搭档你一定会帮我补课的对吧？,"넌 좋은 파트너니까, 내 보충 수업을 당연히 도와줄 거지?"
AvgCommunicate_57594_Content_12,abqJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,19,AvgCommunicate,Content,拉蒙娜,没问题，这是作为搭档应该做的。,"물론이지, 파트너라면 당연히 해야 할 일이니까."
AvgCommunicate_57594_Content_13,abqK,avg通讯器聊天表_AvgCommunicate_A_M.csv,20,AvgCommunicate,Content,拉蒙娜,朵尔老师也很欣慰，决定给你设计一套独家附加题呢。,돌 교수님도 기뻐하셨어. 널 위해 특별히 보너스 문제 한 세트를 더 내주신대.
AvgCommunicate_57593_Content_1,abpY,avg通讯器聊天表_AvgCommunicate_A_M.csv,531,AvgCommunicate,Content,拉蒙娜,搭档，上次我给你拿去的历史、博物学相关的几本书你都看完了吗？,"파트너, 지난번에 가져갔던 역사와 박물학 관련 책들은 다 읽었어?"
AvgCommunicate_57593_Content_2,abqh,avg通讯器聊天表_AvgCommunicate_A_M.csv,532,AvgCommunicate,Content,玩家,呃，这个，那个，算是都……看了。,"어... 이것저것, 대충… 다 봤다고 할 수 있지."
AvgCommunicate_57593_Content_3,abqi,avg通讯器聊天表_AvgCommunicate_A_M.csv,533,AvgCommunicate,Content,拉蒙娜,看了多少？,어디까지 읽었는데?
AvgCommunicate_57593_Option_4,abqA,avg通讯器聊天表_AvgCommunicate_A_M.csv,534,AvgCommunicate,Option,玩家,大概，看了……目录。,"아마, 목차…… 정도?"
AvgCommunicate_57593_Content_4,abqj,avg通讯器聊天表_AvgCommunicate_A_M.csv,534,AvgCommunicate,Content,玩家,大概，看了……目录。,"아마, 목차…… 정도?"
AvgCommunicate_57593_Content_5,abqk,avg通讯器聊天表_AvgCommunicate_A_M.csv,535,AvgCommunicate,Content,拉蒙娜,……,…...
AvgCommunicate_57593_Option_6,abqC,avg通讯器聊天表_AvgCommunicate_A_M.csv,536,AvgCommunicate,Option,玩家,那些书实在太厚太枯燥了嘛！,책들이 너무 두껍고 지루했단 말이야!
AvgCommunicate_57593_Content_6,abql,avg通讯器聊天表_AvgCommunicate_A_M.csv,536,AvgCommunicate,Content,玩家,那些书实在太厚太枯燥了嘛！密密麻麻的字一看就睡过去了……,책들이 너무 두껍고 지루했단 말이야! 빼곡한 글자만 봐도 벌써 잠이 올 것 같아…
AvgCommunicate_57593_Content_7,abqm,avg通讯器聊天表_AvgCommunicate_A_M.csv,537,AvgCommunicate,Content,玩家,每次看书之后我的睡眠质量倒是很好……,그래도 책을 읽을 때마다 잠이 훨씬 더 잘 오더라고...
AvgCommunicate_57593_Content_8,abqn,avg通讯器聊天表_AvgCommunicate_A_M.csv,538,AvgCommunicate,Content,拉蒙娜,算了，之后你来我这里，我一本一本给你讲。,"됐다, 나중에 네가 찾아올 때마다 한 권씩 설명해 줄게."
AvgCommunicate_57593_Content_9,abqo,avg通讯器聊天表_AvgCommunicate_A_M.csv,539,AvgCommunicate,Content,拉蒙娜,每天下课后你来我宿舍报道。,매일 수업 끝나면 내 기숙사로 와.
AvgCommunicate_57593_Option_10,abqq,avg通讯器聊天表_AvgCommunicate_A_M.csv,540,AvgCommunicate,Option,玩家,啊？需要这么认真吗……,응? 그 정도까지 진지하게 할 일이야…?
AvgCommunicate_57593_Content_10,abpZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,540,AvgCommunicate,Content,玩家,啊？需要这么认真吗……,응? 그 정도까지 진지하게 할 일이야…?
AvgCommunicate_57593_Content_11,abqa,avg通讯器聊天表_AvgCommunicate_A_M.csv,541,AvgCommunicate,Content,拉蒙娜,这些都是调查员必读的书籍， 你死记硬背也要学一些。,이 책들은 조사원이라면 반드시 읽어야 할 책들이야. 너는 억지로 외워서라도 배워야겠어.
AvgCommunicate_57593_Content_12,abqb,avg通讯器聊天表_AvgCommunicate_A_M.csv,542,AvgCommunicate,Content,拉蒙娜,我预计每天给你补课一小时，如果你想快点学完，我也不介意陪你通宵读书。,"보충수업은 매일 한 시간씩 할 예정이야. 진도를 더 빨리 나가고 싶다면, 밤새 같이 공부하는 것도 가능해."
AvgCommunicate_57593_Option_13,abqt,avg通讯器聊天表_AvgCommunicate_A_M.csv,543,AvgCommunicate,Option,玩家,还，还是慢点吧……,"아니야, 천천히 하자…"
AvgCommunicate_57593_Content_13,abqc,avg通讯器聊天表_AvgCommunicate_A_M.csv,543,AvgCommunicate,Content,玩家,还，还是慢点吧……我觉得一个小时就挺好！学太多不利于复习巩固！,"아니야, 천천히 하자… 한 시간 정도가 딱 좋겠어! 너무 많이 배우면 복습하기 힘들잖아!"
AvgCommunicate_57593_Content_14,abqd,avg通讯器聊天表_AvgCommunicate_A_M.csv,544,AvgCommunicate,Content,拉蒙娜,很好，你的学习态度很不错。,"좋아, 학습 태도가 아주 멋진데."
AvgCommunicate_57593_Content_15,abqe,avg通讯器聊天表_AvgCommunicate_A_M.csv,545,AvgCommunicate,Content,拉蒙娜,记得带好笔记本，我会随时检查你的复习情况。,꼭 노트를 챙겨와. 복습한 내용은 내가 수시로 확인할 거야.
AvgCommunicate_57593_Content_17,abqg,avg通讯器聊天表_AvgCommunicate_A_M.csv,547,AvgCommunicate,Content,玩家,我恨我这张破嘴……,이놈의 입이 방정이지……
AvgCommunicate_60943_Content_1,abKo,avg通讯器聊天表_AvgCommunicate_A_M.csv,1168,AvgCommunicate,Content,拉蒙娜,搭档，这次任务人手不足，我需要提前赶往前置地点做准备，恐怕没法和你一起行动了。,"파트너, 이번 임무는 인원이 부족해서 내가 미리 작전 위치에 가서 준비를 하려고 해. 그래서 이번에는 함께 움직일 수 없을 것 같아."
AvgCommunicate_60943_Content_2,abKu,avg通讯器聊天表_AvgCommunicate_A_M.csv,1169,AvgCommunicate,Content,拉蒙娜,我给你写了几版危机方案，如果有突发情况可以对应目录来参考。,"위기 대응 방안을 몇 가지 정리해 뒀으니까, 긴급 상황이 생기면 매뉴얼을 참고해서 대응할 수 있을 거야."
