CN,TH
融灾禁区·第1波·Ⅰ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1 เตือนภัยระดับ I
融灾禁区·第2波·Ⅰ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2 เตือนภัยระดับ I
融灾禁区·第3波·Ⅰ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3 เตือนภัยระดับ I
融灾禁区·第4波·Ⅰ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4 เตือนภัยระดับ I
融灾禁区·第5波·Ⅰ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5 เตือนภัยระดับ I
,
融灾禁区·第1波·Ⅱ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1 เตือนภัยระดับ II
融灾禁区·第2波·Ⅱ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2 เตือนภัยระดับ II
融灾禁区·第3波·Ⅱ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3 เตือนภัยระดับ II
融灾禁区·第4波·Ⅱ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4 เตือนภัยระดับ II
融灾禁区·第5波·Ⅱ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5 เตือนภัยระดับ II
,
融灾禁区·第1波·Ⅲ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1 เตือนภัยระดับ III
融灾禁区·第2波·Ⅲ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2 เตือนภัยระดับ III
融灾禁区·第3波·Ⅲ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3 เตือนภัยระดับ III
融灾禁区·第4波·Ⅲ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4 เตือนภัยระดับ III
融灾禁区·第5波·Ⅲ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5 เตือนภัยระดับ III
,
融灾禁区·第1波·Ⅳ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1 เตือนภัยระดับ IV
融灾禁区·第2波·Ⅳ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2 เตือนภัยระดับ IV
融灾禁区·第3波·Ⅳ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3 เตือนภัยระดับ IV
