Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
LanguageConfig_MainInterface_Btn_DailyCopy_CN,aGQb,d多语言_LanguageConfig_C.csv,316,LanguageConfig,CN,,融蚀之墟,ซากปรักหักพังกร่อนสลาย
LanguageConfig_DailyCopy_Str_Title_CN,aGIM,d多语言_LanguageConfig_C.csv,324,LanguageConfig,CN,,融蚀之墟,ซากปรักหักพังกร่อนสลาย
LanguageConfig_DailyCopyRules_CN,aGIE,d多语言_LanguageConfig_C.csv,2930,LanguageConfig,CN,,1、融蚀之墟内通关对应的关卡后来获得大量唤醒体升格素材、灵知制剂和蔷薇金券!\n2、完成关卡挑战后解锁重现，重现可以立即获得该关卡的任务报酬。每次重现需消耗等同于进行调查所需的灵啡肽。\n3、在调查等级达到 20 级后解锁技能素材关卡。\n4、若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,1. ผ่านด่านในซากปรักหักพังกร่อนสลาย เพื่อรับวัสดุอัปเกรดผู้ปลุกตื่น สารสกัดญาณทัศนะ และคูปองกุหลาบทองคำจำนวนมาก!2. หลังจากผ่านด่านใดด่านหนึ่งของเลเวลนั้นสำเร็จ จะปลดล็อกโหมดลงด่วน ซึ่งจะช่วยให้คุณได้รับรางวัลสำหรับเลเวลนั้นทันที การลงด่วนแต่ละครั้งจะใช้เมโนฟินในปริมาณที่เทียบเท่ากับปริมาณที่ใช้ในการลงด่านสืบสวนปกติ\n3. สำหรับด่านวัสดุอัปเกรดสกิลจะปลดล็อกเมื่อเลเวลการสืบสวนถึง 20\n4. หากผ่านด่านที่มีความยากระดับสูงด้วยคะแนนสามดาว ด่านที่มีระดับความยากต่ำกว่าจะถูกบันทึกผลคะแนนให้เป็นสามดาวให้โดยอัตโนมัติ
FeatureUnlock_17041_FeatureName,aCqF,g功能解锁_FeatureUnlock_A.csv,53,FeatureUnlock,FeatureName,,融蚀之墟,ซากปรักหักพังกร่อนสลาย
FeatureUnlock_17041_LockTip,aCqG,g功能解锁_FeatureUnlock_A.csv,53,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
,,,—,,,,,
LanguageConfig_DailyCopy_Str_Money_Exp_CN,aGIJ,d多语言_LanguageConfig_C.csv,326,LanguageConfig,CN,,制剂淬炼 ,ขัดเกลาตำรับยา
StageGroup_15940_Name,aRda,g关卡组_StageGroup_A.csv,44,StageGroup,Name,,制剂淬炼,ขัดเกลาตำรับยา
FeatureUnlock_17059_LockTip,aCrI,g功能解锁_FeatureUnlock_A.csv,54,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
StageGroup_15940_Desc,aRcZ,g关卡组_StageGroup_A.csv,44,StageGroup,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
StageGroup_15940_TypeText,aRdc,g关卡组_StageGroup_A.csv,44,StageGroup,TypeText,,制剂淬炼,ขัดเกลาตำรับยา
StageGroup_15940_StageGroupRewardDescription,aRdb,g关卡组_StageGroup_A.csv,44,StageGroup,StageGroupRewardDescription,,<Black:灵知制剂>,<Black:สารสกัดญาณทัศนะ>
Stage_7765_Name,aUWq,g关卡_Stage_A.csv,502,Stage,Name,,制剂淬炼Ⅰ,ขัดเกลาตำรับยา I
Stage_7765_Desc,aUWp,g关卡_Stage_A.csv,502,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
Stage_7763_Name,aUWk,g关卡_Stage_A.csv,503,Stage,Name,,制剂淬炼Ⅱ,ขัดเกลาตำรับยา II
Stage_7763_Desc,aUWj,g关卡_Stage_A.csv,503,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
Stage_7764_Name,aUWn,g关卡_Stage_A.csv,504,Stage,Name,,制剂淬炼Ⅲ,ขัดเกลาตำรับยา III
Stage_7764_Desc,aUWm,g关卡_Stage_A.csv,504,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
Stage_7761_Name,aUWe,g关卡_Stage_A.csv,505,Stage,Name,,制剂淬炼Ⅳ,ขัดเกลาตำรับยา V
Stage_7761_Desc,aUWd,g关卡_Stage_A.csv,505,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
Stage_7762_Name,aUWh,g关卡_Stage_A.csv,506,Stage,Name,,制剂淬炼Ⅴ,ขัดเกลาตำรับยา V
Stage_7762_Desc,aUWg,g关卡_Stage_A.csv,506,Stage,Desc,,成为天才药理师的第一步。,ก้าวแรกสู่การเป็นเภสัชกรมากความสามารถ
,,,—,,,,,
LanguageConfig_DailyCopy_Str_Money_Title_CN,aGIK,d多语言_LanguageConfig_C.csv,325,LanguageConfig,CN,,金券搜查,เสาะหาคูปองกุหลาบทองคำ
StageGroup_15951_Name,aRdS,g关卡组_StageGroup_A.csv,45,StageGroup,Name,,金券搜查,เสาะหาคูปองกุหลาบทองคำ
FeatureUnlock_17057_LockTip,aCrC,g功能解锁_FeatureUnlock_A.csv,55,FeatureUnlock,LockTip,,完成 「调查行动」1-2·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 1-2: ปกติ"
